closing_speed_km_s,slug_ratio,rho_bag_kg_m3,dissipated_MJ_kg,temp_0_K,rho_freeze_kg_m3,temp_freeze_K,bond_fraction,available_MJ_kg,eta_chem,conducts,ignites
40,0.5,0.323,177.7778,21436.2,2.108128e-02,13117.9,0.999937,482.3957,0.951048,1,1
40,1,0.323,200.0000,22744.6,2.108128e-02,14007.0,0.999955,349.0614,0.934159,1,1
40,2,0.323,177.7778,21436.2,2.108128e-02,13117.9,0.999937,215.7290,0.899435,1,1
40,4,0.323,128.0000,18081.1,2.027515e-02,9282.3,0.999656,109.0767,0.825669,1,1
40,6,0.323,97.9592,15185.4,1.269898e-02,4471.5,0.927534,67.0363,0.765877,1,1
40,8.5,0.323,75.3463,11000.6,1.129718e-02,3977.7,0.796065,43.6583,0.720029,1,0
40,12,0.323,56.8047,5751.1,1.129718e-02,3677.9,0.626485,29.6248,0.693832,0,0
40,16,0.323,44.2907,4881.9,1.269898e-02,3489.0,0.474973,22.8633,0.697026,0,0
40,20,0.323,36.2812,4514.5,1.734731e-02,3418.0,0.380125,18.7313,0.701212,0,0
45.58,0.5,0.323,230.8374,24514.9,2.108128e-02,15003.7,0.999969,641.5728,0.962519,1,1
45.58,1,0.323,259.6920,26201.9,2.108128e-02,15793.5,0.999978,468.4444,0.949696,1,1
45.58,2,0.323,230.8374,24514.9,2.108128e-02,15003.7,0.999969,295.3168,0.923518,1,1
45.58,4,0.323,166.2029,20726.2,2.108128e-02,12557.3,0.999921,156.8168,0.868804,1,1
45.58,6,0.323,127.1961,18017.3,2.027515e-02,9166.9,0.999631,97.4734,0.810462,1,1
45.58,8.5,0.323,97.8341,15169.9,1.269898e-02,4468.0,0.926955,62.1241,0.753759,1,1
45.58,12,0.323,73.7587,10503.2,1.129718e-02,3954.7,0.785528,39.8897,0.706550,1,0
45.58,16,0.323,57.5097,5828.9,1.129718e-02,3690.3,0.634758,28.7689,0.686162,0,0
45.58,20,0.323,47.1097,5030.4,1.269898e-02,3541.0,0.511956,23.3856,0.687583,0,0
50,0.5,0.323,277.7778,27308.3,2.108128e-02,16243.6,0.999982,782.3934,0.968954,1,1
50,1,0.323,312.5000,29622.1,2.463932e-02,17465.5,0.999986,574.0598,0.958382,1,1
50,2,0.323,277.7778,27308.3,2.108128e-02,16243.6,0.999982,365.7267,0.936880,1,1
50,4,0.323,200.0000,22744.6,2.108128e-02,14007.0,0.999955,199.0614,0.892326,1,1
50,6,0.323,153.0612,19881.5,2.108128e-02,11786.1,0.999893,127.6360,0.845436,1,1
50,8.5,0.323,117.7285,17224.3,2.027515e-02,7579.8,0.998824,80.6980,0.783138,1,1
50,12,0.323,88.7574,13898.6,1.086518e-02,4162.8,0.869865,51.8421,0.734274,1,1
50,16,0.323,69.2042,8845.0,1.129718e-02,3887.3,0.752120,35.2157,0.692051,0,0
50,20,0.323,56.6893,5738.9,1.129718e-02,3675.8,0.625122,27.6795,0.681921,0,0
56.53,0.5,0.323,355.0712,32983.2,1.799735e-01,27773.1,0.999992,1014.2731,0.975796,1,1
56.53,1,0.323,399.4551,37096.0,1.799735e-01,30565.6,0.999997,747.9695,0.967594,1,1
56.53,2,0.323,355.0712,32983.2,1.799735e-01,27773.1,0.999992,481.6663,0.950976,1,1
56.53,4,0.323,255.6513,25961.0,2.108128e-02,15688.8,0.999977,268.6244,0.916840,1,1
56.53,6,0.323,195.6515,22492.4,2.108128e-02,13847.5,0.999952,177.3216,0.881385,1,1
56.53,8.5,0.323,150.4872,19709.7,2.108128e-02,11611.1,0.999885,117.2566,0.834962,1,1
56.53,12,0.323,113.4547,16836.1,2.027515e-02,6810.1,0.997491,72.0962,0.765886,1,1
56.53,16,0.323,88.4606,13850.9,1.086518e-02,4157.8,0.868327,49.7561,0.727585,1,1
