v,rho_ceiling,rho_contour,binds,d_over_d,l_over_d,r_foot_over_r,eta_capture,focusing,peak_mpa,e_eff,f,freeze_delta,freeze_measured,opacity_delta,f_lo,f_hi,wall_fluence,ablation_depth_max_um,ablation_depth_min_um
16000.0,1.269638e+00,5.821854e-01,shape_box,0.1,0.300000,0.300000,0.971714,1.151681,211.239,0.634839,0.794298,0.043513,True,2.167632e-03,0.750731,0.837865,4.586578e+06,1911.074,382.215
19000.0,9.101095e-01,5.821854e-01,shape_box,0.1,0.300000,0.300000,0.971714,1.151681,294.686,0.667388,0.810113,0.049192,False,2.167632e-03,0.760873,0.859353,8.309380e+06,3462.242,692.448
22000.0,6.858091e-01,5.821854e-01,shape_box,0.1,0.300000,0.300000,0.971714,1.151681,391.066,0.679777,0.816132,0.049192,True,2.872614e-03,0.766856,0.865408,1.340751e+07,5586.462,1117.292
25000.0,5.350938e-01,4.573518e-01,survivability,0.1,0.300000,0.325131,0.972544,1.166821,398.919,0.674645,0.814334,0.049192,False,2.872614e-03,0.765058,0.863610,1.640112e+07,6833.801,1366.760
28000.0,4.272903e-01,3.593189e-01,survivability,0.1,0.300000,0.352356,0.973444,1.183193,397.990,0.668579,0.812134,0.038805,True,3.649789e-03,0.773157,0.851111,1.828997e+07,7620.821,1524.164
31000.0,3.473165e-01,2.874162e-01,survivability,0.1,0.300000,0.379581,0.974343,1.199533,397.062,0.665700,0.811482,0.049192,False,3.649789e-03,0.762154,0.860809,1.971413e+07,8214.220,1642.844
34000.0,2.870127e-01,2.334867e-01,survivability,0.1,0.300000,0.406806,0.975242,1.215842,395.638,0.665594,0.812179,0.049192,False,3.649789e-03,0.762852,0.861506,2.103607e+07,8765.031,1753.006
37000.0,2.416788e-01,1.950578e-01,survivability,0.1,0.300000,0.431937,0.976073,1.230868,397.371,0.667166,0.813638,0.049192,False,4.644094e-03,0.764227,0.863049,2.262065e+07,9425.271,1885.054
40000.0,2.061697e-01,1.646200e-01,survivability,0.1,0.300000,0.457068,0.976903,1.245868,397.914,0.668261,0.814864,0.049192,False,4.644094e-03,0.765453,0.864275,2.516860e+07,10486.919,2097.384
43000.0,1.767217e-01,1.401466e-01,survivability,0.1,0.300113,0.482199,0.977721,1.260977,400.000,0.669117,0.815965,0.049192,False,4.644094e-03,0.766554,0.865376,2.877727e+07,11990.528,2398.106
45000.0,1.603828e-01,1.260580e-01,survivability,0.1,0.301160,0.498953,0.978166,1.272294,400.000,0.669671,0.816608,0.049192,False,4.644094e-03,0.767197,0.866019,3.198349e+07,13326.454,2665.291
46000.0,1.536811e-01,1.188703e-01,survivability,0.1,0.300078,0.509424,0.977783,1.292847,400.000,0.669612,0.816259,0.049192,False,4.644094e-03,0.766848,0.865670,3.381362e+07,14089.010,2817.802
47000.0,1.472923e-01,1.118607e-01,survivability,0.1,0.300000,0.519895,0.977202,1.316432,399.904,0.669133,0.815540,0.049192,False,4.644094e-03,0.766129,0.864951,3.586902e+07,14945.423,2989.085
48000.0,1.405084e-01,1.041268e-01,survivability,0.1,0.300000,0.532461,0.976495,1.344842,398.650,0.668349,0.814567,0.049192,False,4.644094e-03,0.765156,0.863978,3.820858e+07,15920.242,3184.048
49000.0,1.347085e-01,9.821751e-02,survivability,0.1,0.300000,0.542932,0.975906,1.368512,399.119,0.667609,0.813715,0.049192,False,4.644094e-03,0.764304,0.863126,4.084125e+07,17017.188,3403.438
50000.0,1.297013e-01,9.338598e-02,survivability,0.1,0.301356,0.551309,0.975267,1.388874,400.000,0.666713,0.812745,0.049192,False,4.644094e-03,0.763334,0.862156,4.378944e+07,18245.599,3649.120
51000.0,1.242089e-01,8.767547e-02,survivability,0.1,0.300000,0.563874,0.974729,1.415834,399.758,0.665117,0.811519,0.049192,False,4.598885e-03,0.762112,0.860926,4.703693e+07,19598.722,3919.744
52000.0,1.192651e-01,8.282425e-02,survivability,0.1,0.300517,0.574346,0.974071,1.439978,400.000,0.663519,0.810193,0.049192,False,4.598885e-03,0.760786,0.859599,5.056961e+07,21070.671,4214.134
53000.0,1.148986e-01,7.851535e-02,survivability,0.1,0.300284,0.584817,0.973512,1.463390,400.000,0.661616,0.808801,0.049192,False,4.598885e-03,0.759395,0.858208,5.430669e+07,22627.786,4525.557
54000.0,1.103894e-01,7.419163e-02,survivability,0.1,0.301308,0.595288,0.972776,1.487896,400.000,0.658945,0.806891,0.049192,False,4.598885e-03,0.757484,0.856298,5.826292e+07,24276.218,4855.244
55000.0,1.062838e-01,6.998880e-02,survivability,0.1,0.300000,0.607853,0.972255,1.515136,399.092,0.656084,0.805068,0.049192,False,4.598885e-03,0.755661,0.854475,6.253519e+07,26056.328,5211.266
56000.0,1.024007e-01,6.649294e-02,survivability,0.1,0.300000,0.618325,0.971666,1.538764,399.673,0.653271,0.803214,0.049192,False,4.598885e-03,0.753807,0.852621,6.691467e+07,27881.113,5576.223
57000.0,9.888518e-02,6.322607e-02,survivability,0.1,0.300000,0.628796,0.971078,1.562387,399.589,0.650402,0.801334,0.049192,False,4.598885e-03,0.751928,0.850741,7.153471e+07,29806.130,5961.226
58000.0,9.533987e-02,6.010516e-02,survivability,0.1,0.300322,0.639267,0.970437,1.586218,400.000,0.647169,0.799237,0.049192,False,4.598885e-03,0.749830,0.848644,7.627176e+07,31779.900,6355.980
59000.0,9.204611e-02,5.716932e-02,survivability,0.1,0.300724,0.649738,0.969781,1.610061,400.000,0.642203,0.796288,0.049192,False,4.598885e-03,0.746882,0.845695,8.073933e+07,33641.386,6728.277
60000.0,8.896332e-02,5.445327e-02,survivability,0.1,0.300938,0.660209,0.969153,1.633755,400.000,0.636892,0.793199,0.049192,False,4.468871e-03,0.743804,0.842594,8.509234e+07,35455.143,7091.029
61000.0,8.598170e-02,5.187371e-02,survivability,0.1,0.301336,0.670681,0.968491,1.657520,400.000,0.631225,0.789913,0.049192,False,4.468871e-03,0.740518,0.839308,8.933510e+07,37222.957,7444.591
62000.0,8.331336e-02,4.956419e-02,survivability,0.1,0.301056,0.681152,0.967946,1.680918,400.000,0.625370,0.786635,0.049192,False,4.468871e-03,0.737240,0.836030,9.345465e+07,38939.437,7787.887
63000.0,8.061802e-02,4.729435e-02,survivability,0.1,0.301390,0.691623,0.967292,1.704602,400.000,0.619085,0.783064,0.049192,False,4.468871e-03,0.733669,0.832458,9.754399e+07,40643.328,8128.666
