v,d_over_d,l_over_d,r_foot_over_r,rho_impact,areal_impulse,peak_facesheet,pulse_duration,first_mode_period,rigidity_ratio,rigid_ok,membrane_tension,back_thickness_req,implied_plate_mass_t,mass_ok,reflected_tensile,spall_ok,back_face_tensile,back_spall_ok,verdict_ok
16000.0,0.15,0.3,0.3,0.5821854342639061,153024.58912391608,221771303.20367122,0.0016361805214276661,0.29503270547111404,180.3179426764476,True,249492716.1041301,0.45362312018932743,470.11195490559146,False,33265695.48055068,True,188505607.72312054,True,False
16500.0,0.15,0.3,0.3,0.5821854342639061,158480.56676371422,235255957.17334598,0.0015954000994957088,0.29503270547111404,184.92709481738854,True,264662951.82001424,0.48120536694548044,497.40739279586023,False,35288393.5760019,True,199967563.59734407,True,False
17000.0,0.15,0.3,0.3,0.5821854342639061,163901.1909442471,249566878.07728282,0.0015569313533761724,0.29503270547111404,189.49628371947287,True,280762737.83694315,0.5104777051580784,526.3753480407197,False,37435031.71159242,True,212131846.36569038,True,False
17500.0,0.15,0.3,0.3,0.5821854342639061,169296.56716125284,263821247.23030537,0.0015202464391283013,0.29503270547111404,194.06899952371126,True,296798903.1340935,0.5396343693347155,555.2288320645796,False,39573187.084545806,True,224248060.14575955,True,False
18000.0,0.15,0.3,0.3,0.5821854342639061,174648.49255262752,278722509.3890868,0.001485136091229445,0.29503270547111404,198.6570168306099,True,313562823.0627226,0.5701142237504048,585.3917473797467,False,41808376.408363014,True,236914132.98072377,True,False
18500.0,0.15,0.3,0.3,0.5821854342639061,180014.18227536208,294090019.2861335,0.0014518778116118186,0.29503270547111404,203.20766879382236,True,330851271.6969001,0.6015477667216366,616.4984344972837,False,44113502.892920025,True,249976516.39321348,True,False
19000.0,0.15,0.3,0.3,0.5821854342639061,185352.02885510342,309562391.25592995,0.001420351014349095,0.29503270547111404,207.71816437665504,True,348257690.16292113,0.6331958002962202,647.8173818775034,False,46434358.68838949,True,263128032.56754044,True,False
19500.0,0.15,0.3,0.3,0.5821854342639061,190673.81430112495,325345549.81950474,0.0013897089775174454,0.29503270547111404,212.29819353844564,True,366013743.54694283,0.6654795337217142,679.7654189018981,False,48801832.47292571,True,276543717.346579,True,False
20000.0,0.15,0.3,0.3,0.5821854342639061,195924.59431680688,341917423.0190357,0.0013601377845746082,0.29503270547111404,216.9138368311615,True,384657100.8964152,0.6993765470843912,713.3099604719267,False,51287613.452855356,True,290629809.56618035,True,False
20500.0,0.15,0.3,0.3,0.5821854342639061,201107.84827809312,358678106.41911244,0.0013321775287045174,0.29503270547111404,221.46650811474058,True,403512869.72150147,0.7336597631300027,747.2366888680791,False,53801715.962866865,True,304876390.45624554,True,False
21000.0,0.15,0.3,0.3,0.5821854342639061,206193.8069629241,375945908.15355265,0.0013040198056361615,0.29503270547111404,226.2486383994631,True,422939146.6727467,0.7689802666777213,782.1899187250596,False,56391886.2230329,True,319554021.93051976,True,False
21500.0,0.15,0.3,0.3,0.5821854342639061,211220.72195319328,393163545.2408326,0.0012768267667580084,0.29503270547111404,231.06713702457205,True,442308988.39593667,0.8041981607198848,817.0416060423555,False,58974531.78612489,True,334189013.45470774,True,False
22000.0,0.1,0.3,0.3,0.5821854342639061,216207.08818052142,391666788.8323216,0.0012502803977112703,0.29503270547111404,235.9732312937106,True,660937706.1545426,1.2017049202809864,1210.4149654530295,False,58750018.324848235,True,332916770.50747335,True,False
22500.0,0.1,0.3,0.5,0.12575205380100374,48381.29649116622,97632073.99981768,0.0012229200490035059,0.29503270547111404,241.25265238027694,True,457650346.8741454,0.8320915397711734,844.6449409764225,False,14644811.099972652,True,82987262.89984503,True,False
23000.0,0.1,0.3,0.5,0.12575205380100374,49437.04730271845,101890703.2521461,0.0011974289204547987,0.29503270547111404,246.38849156829858,True,477612671.49443483,0.8683866754444269,880.5626684279459,False,15283605.487821914,True,86607097.76432417,True,False
23500.0,0.1,0.3,0.5,0.12575205380100374,50488.90906835805,106227354.66844608,0.001174277607392155,0.29503270547111404,251.24613090964493,True,497940725.008341,0.9053467727424382,917.1384430243758,False,15934103.20026691,True,90293251.46817917,True,False
24000.0,0.1,0.3,0.5,0.12575205380100374,51532.774048323576,110621192.73828772,0.001151255016914694,0.29503270547111404,256.2705057840156,True,518536840.9607237,0.9427942562922249,954.1965358772376,False,16593178.910743156,True,94028013.82754456,True,False
