d_over_d,l_over_d,r_foot_over_r,mach,v,e_eff,eta_capture,rho_impact,focusing_factor,peak_compressive,reflected_tensile,back_face_tensile,f,survives_baseline,survives_relaxed
0.0,0.3,0.3,10.0,11000.0,0.57,0.9150387261595979,3.929751681281366,1.0,569847099.1834731,85477064.87752096,484370034.30595213,0.7183054000352843,False,True
0.1,0.3,0.3,10.0,11000.0,0.57,0.9769111271911318,3.929751681281366,1.1480019549789375,654185583.9017036,98127837.58525553,556057746.3164481,0.7668752348450384,False,True
0.15,0.3,0.3,10.0,11000.0,0.57,0.9938090061573006,3.929751681281366,1.1768533259418852,670626453.9524057,100593968.09286085,570032485.8595449,0.7801400698334809,False,True
0.0,0.3,0.5,10.0,11000.0,0.57,0.9100395122797298,0.8488263631567752,1.0,123086973.42363024,18463046.013544533,104623927.4100857,0.7143810171395878,True,True
0.1,0.3,0.5,10.0,11000.0,0.57,0.9779799544117943,0.8488263631567752,1.258474301912152,154901792.95378268,23235268.9430674,131666524.01071528,0.7677142642132585,True,True
0.15,0.3,0.5,10.0,11000.0,0.57,0.9783341290979581,0.8488263631567752,1.6202909626702309,199436710.66073897,29915506.599110845,169521204.06162813,0.7679922913418971,True,True
0.0,0.3,0.7,10.0,11000.0,0.57,0.9011602437927586,0.3093390536285624,1.0,44856768.740390025,6728515.311058504,38128253.42933152,0.7074107913773154,True,True
0.1,0.3,0.7,10.0,11000.0,0.57,0.9644616608860132,0.3093390536285624,1.7137845648034276,76874837.89423731,11531225.684135595,65343612.21010171,0.7571024037955203,True,True
0.15,0.3,0.7,10.0,11000.0,0.57,0.9627105997590455,0.3093390536285624,1.9362312266046242,86853076.35972534,13027961.4539588,73825114.90576653,0.7557278208108507,True,True
0.0,0.6,0.3,10.0,11000.0,0.57,0.8659184961181692,1.964875840640683,1.0,284923549.59173656,42738532.43876048,242185017.15297607,0.6797460194527627,True,True
0.1,0.6,0.3,10.0,11000.0,0.57,0.9296101559425008,1.964875840640683,1.2587238555753753,358640068.8863323,53796010.33294984,304844058.5533824,0.7297439724148631,True,True
0.15,0.6,0.3,10.0,11000.0,0.57,0.926739545821441,1.964875840640683,1.560575575266022,444644732.3109612,66696709.84664418,377948022.464317,0.7274905434698311,False,True
0.0,0.6,0.5,10.0,11000.0,0.57,0.8558280253284053,0.4244131815783876,1.0,61543486.71181512,9231523.006772267,52311963.70504285,0.6718249998827981,True,True
0.1,0.6,0.5,10.0,11000.0,0.57,0.9370778840995065,0.4244131815783876,1.6426082803843152,101091840.87654959,15163776.131482437,85928064.74506715,0.7356061390181126,True,True
0.15,0.6,0.5,10.0,11000.0,0.57,0.9329140716811773,0.4244131815783876,1.9901603538367312,122481407.29073215,18372211.09360982,104109196.19712232,0.7323375462697241,True,True
0.0,0.6,0.7,10.0,11000.0,0.57,0.8375893525149456,0.1546695268142812,1.0,22428384.370195013,3364257.655529252,19064126.71466576,0.6575076417242323,True,True
0.1,0.6,0.7,10.0,11000.0,0.57,0.9048739979418233,0.1546695268142812,1.8035877569747605,40451559.458807796,6067733.918821169,34383825.539986625,0.7103260883843312,True,True
0.15,0.6,0.7,10.0,11000.0,0.57,0.923433593466988,0.1546695268142812,1.9955432580838581,44756811.219656035,6713521.682948405,38043289.53670763,0.7248953708715855,True,True
0.0,1.0,0.3,10.0,11000.0,0.57,0.8200059518925272,1.17892550438441,1.0,170954129.75504196,25643119.463256292,145311010.29178566,0.6437046722356338,True,True
0.1,1.0,0.3,10.0,11000.0,0.57,0.9102521973681972,1.17892550438441,1.5336349891299565,262181234.92859495,39327185.23928924,222854049.6893057,0.7145479749340348,True,True
0.15,1.0,0.3,10.0,11000.0,0.57,0.9196655100480653,1.17892550438441,1.8508602657899138,316412206.03630036,47461830.905445054,268950375.1308553,0.7219374253877312,True,True
0.0,1.0,0.5,10.0,11000.0,0.57,0.8028585300290828,0.25464790894703254,1.0,36926092.02708907,5538913.80406336,31387178.223025706,0.63024394607283,True,True
0.1,1.0,0.5,10.0,11000.0,0.57,0.8730081076891283,0.25464790894703254,1.7926932273377534,66197155.08901318,9929573.263351977,56267581.825661205,0.6853113645359656,True,True
0.15,1.0,0.5,10.0,11000.0,0.57,0.898129727953851,0.25464790894703254,2.1302880900058194,78663214.05576669,11799482.108365003,66863731.94740168,0.705031836443773,True,True
0.0,1.0,0.7,10.0,11000.0,0.57,0.7711761913528161,0.09280171608856873,1.0,13457030.622117007,2018554.593317551,11438476.028799456,0.6053733102119606,True,True
0.1,1.0,0.7,10.0,11000.0,0.57,0.8603105362691736,0.09280171608856873,1.945455214274931,26180050.392454952,3927007.5588682424,22253042.833586708,0.6753437709713013,True,True
0.15,1.0,0.7,10.0,11000.0,0.57,0.8636276809967851,0.09280171608856873,2.03423039579812,27374700.728696503,4106205.109304475,23268495.619392026,0.6779477295824763,True,True
0.0,0.3,0.3,20.0,11000.0,0.57,0.918982539802641,3.929751681281366,1.0,569847099.1834731,85477064.87752096,484370034.30595213,0.7214012937450731,False,True
0.1,0.3,0.3,20.0,11000.0,0.57,0.9715874989788841,3.929751681281366,1.1529738555064537,657018806.9947375,98552821.04921062,558465985.9455268,0.7626961866984239,False,True
0.15,0.3,0.3,20.0,11000.0,0.57,0.9923668835044948,3.929751681281366,1.202917248607622,685478904.6768181,102821835.70152272,582657068.9752954,0.7790080035510283,False,True
0.0,0.3,0.5,20.0,11000.0,0.57,0.9139296557463357,0.8488263631567752,1.0,123086973.42363024,18463046.013544533,104623927.4100857,0.7174347797608734,True,True
0.1,0.3,0.5,20.0,11000.0,0.57,0.9787331755205002,0.8488263631567752,1.2682439088344148,156104304.30138254,23415645.64520738,132688658.65617515,0.7683055427835925,True,True
0.15,0.3,0.5,20.0,11000.0,0.57,0.9704394374591813,0.8488263631567752,1.6401700297318869,201883564.85984358,30282534.728976537,171601030.13086703,0.7617949584054572,True,True
0.0,0.3,0.7,20.0,11000.0,0.57,0.90601076821791,0.3093390536285624,1.0,44856768.740390025,6728515.311058504,38128253.42933152,0.7112184530510594,True,True
0.1,0.3,0.7,20.0,11000.0,0.57,0.9665707662615003,0.3093390536285624,1.7297372922486312,77590425.70002529,11638563.855003793,65951861.845021494,0.7587580515152776,True,True
0.15,0.3,0.7,20.0,11000.0,0.57,0.9620311121185023,0.3093390536285624,1.943833170282661,87194074.98926851,13079111.248390276,74114963.74087824,0.7551944230130243,True,True
0.0,0.6,0.3,20.0,11000.0,0.57,0.8733497256896254,1.964875840640683,1.0,284923549.59173656,42738532.43876048,242185017.15297607,0.6855795346663559,True,True
0.1,0.6,0.3,20.0,11000.0,0.57,0.9319816961995729,1.964875840640683,1.2607999685819982,359231602.37353283,53884740.35602992,305346862.0175029,0.7316056315166647,True,True
0.15,0.6,0.3,20.0,11000.0,0.57,0.9245095270500742,1.964875840640683,1.574254981799876,448542317.3768953,67281347.60653429,381260969.770361,0.7257399787343082,False,True
0.0,0.6,0.5,20.0,11000.0,0.57,0.8645456167550862,0.4244131815783876,1.0,61543486.71181512,9231523.006772267,52311963.70504285,0.6786683091527427,True,True
0.1,0.6,0.5,20.0,11000.0,0.57,0.9464156991331913,0.4244131815783876,1.6541865111709695,101804405.56911437,15270660.835367154,86533744.73374721,0.7429363238195551,True,True
0.15,0.6,0.5,20.0,11000.0,0.57,0.9370977682885373,0.4244131815783876,1.985510473189294,122195237.42289507,18329285.61343426,103865951.8094608,0.7356217481065017,True,True
0.0,0.6,0.7,20.0,11000.0,0.57,0.848074753356479,0.1546695268142812,1.0,22428384.370195013,3364257.655529252,19064126.71466576,0.6657386813848359,True,True
0.1,0.6,0.7,20.0,11000.0,0.57,0.9108657004806384,0.1546695268142812,1.8400864939624435,41270167.16099421,6190525.074149131,35079642.08684508,0.7150295748773011,True,True
0.15,0.6,0.7,20.0,11000.0,0.57,0.9228314834279664,0.1546695268142812,2.019248509132746,45288481.70177246,6793272.255265868,38495209.44650659,0.7244227144909535,True,True
0.0,1.0,0.3,20.0,11000.0,0.57,0.8319523081193791,1.17892550438441,1.0,170954129.75504196,25643119.463256292,145311010.29178566,0.6530825618737126,True,True
0.1,1.0,0.3,20.0,11000.0,0.57,0.9199696730248382,1.17892550438441,1.5448077157638267,264091258.6872792,39613688.803091876,224477569.8841873,0.7221761933244979,True,True
0.15,1.0,0.3,20.0,11000.0,0.57,0.9175987256272596,1.17892550438441,1.8692813537017356,319561367.08940697,47934205.06341104,271627162.0259959,0.7203149996173988,True,True
0.0,1.0,0.5,20.0,11000.0,0.57,0.8165073713550486,0.25464790894703254,1.0,36926092.02708907,5538913.80406336,31387178.223025706,0.6409582865137131,True,True
0.1,1.0,0.5,20.0,11000.0,0.57,0.8819342588871849,0.25464790894703254,1.8479854607034274,68238881.18665734,10235832.1779986,58003049.00865874,0.6923183932264401,True,True
0.15,1.0,0.5,20.0,11000.0,0.57,0.9094688568041861,0.25464790894703254,2.163780078806595,79899942.31639436,11984991.347459154,67914950.9689352,0.713933052591286,True,True
0.0,1.0,0.7,20.0,11000.0,0.57,0.788316119272999,0.09280171608856873,1.0,13457030.622117007,2018554.593317551,11438476.028799456,0.6188281536293042,True,True
0.1,1.0,0.7,20.0,11000.0,0.57,0.8784865065865692,0.09280171608856873,2.11912159139109,28517084.147339225,4277562.622100883,24239521.52523834,0.6896119076704568,True,True
0.15,1.0,0.7,20.0,11000.0,0.57,0.8691435715816268,0.09280171608856873,2.06523387520852,27791915.500514425,4168787.3250771635,23623128.17543726,0.6822777036915769,True,True
0.0,0.3,0.3,10.0,16000.0,0.63,0.9150387261595979,3.929751681281366,1.0,1249507795.0429258,187426169.25643888,1062081625.786487,0.7457565618200722,False,False
0.1,0.3,0.3,10.0,16000.0,0.63,0.9769111271911318,3.929751681281366,1.1480019549789375,1434437391.4707005,215165608.72060508,1219271782.7500954,0.7961825686607724,False,False
0.15,0.3,0.3,10.0,16000.0,0.63,0.9938090061573006,3.929751681281366,1.1768533259418852,1470487404.3865786,220573110.6579868,1249914293.7285917,0.8099543400182,False,False
0.0,0.3,0.5,10.0,16000.0,0.63,0.9100395122797298,0.8488263631567752,1.0,269893683.729272,40484052.5593908,229409631.1698812,0.7416822025079798,True,True
0.1,0.3,0.5,10.0,16000.0,0.63,0.9779799544117943,0.8488263631567752,1.258474301912152,339654265.2216947,50948139.783254206,288706125.4384405,0.7970536628456123,True,True
0.15,0.3,0.5,10.0,16000.0,0.63,0.9783341290979581,0.8488263631567752,1.6202909626702309,437306296.62831694,65595944.49424754,371710352.1340694,0.7973423152148358,False,True
0.0,0.3,0.7,10.0,16000.0,0.63,0.9011602437927586,0.3093390536285624,1.0,98357756.46110496,14753663.469165744,83604092.99193922,0.7344455986910983,True,True
0.1,0.3,0.7,10.0,16000.0,0.63,0.9644616608860132,0.3093390536285624,1.7137845648034276,168564004.85173628,25284600.72776044,143279404.12397584,0.7860362536221006,True,True
0.15,0.3,0.7,10.0,16000.0,0.63,0.9627105997590455,0.3093390536285624,1.9362312266046242,190443359.43876415,28566503.915814623,161876855.52294952,0.784609138803622,True,True
0.0,0.6,0.3,10.0,16000.0,0.63,0.8659184961181692,1.964875840640683,1.0,624753897.5214629,93713084.62821944,531040812.8932435,0.7057235743363078,False,True
0.1,0.6,0.3,10.0,16000.0,0.63,0.9296101559425008,1.964875840640683,1.2587238555753753,786392634.6739587,117958895.2010938,668433739.4728649,0.7576322770931382,False,True
0.15,0.6,0.3,10.0,16000.0,0.63,0.926739545821441,1.964875840640683,1.560575575266022,974975673.0242463,146246350.95363694,828729322.0706093,0.7552927298444744,False,False
0.0,0.6,0.5,10.0,16000.0,0.63,0.8558280253284053,0.4244131815783876,1.0,134946841.864636,20242026.2796954,114704815.5849406,0.6974998406426502,True,True
0.1,0.6,0.5,10.0,16000.0,0.63,0.9370778840995065,0.4244131815783876,1.6426082803843152,221664799.85856387,33249719.97878458,188415079.87977928,0.7637184755410977,True,True
0.15,0.6,0.5,10.0,16000.0,0.63,0.9329140716811773,0.4244131815783876,1.9901603538367312,268565854.5544734,40284878.18317101,228280976.3713024,0.7603249684201595,True,True
0.0,0.6,0.7,10.0,16000.0,0.63,0.8375893525149456,0.1546695268142812,1.0,49178878.23055248,7376831.734582872,41802046.49596961,0.6826353222996806,True,True
0.1,0.6,0.7,10.0,16000.0,0.63,0.9048739979418233,0.1546695268142812,1.8035877569747605,88698422.67837702,13304763.401756553,75393659.27662046,0.7374723083225859,True,True
0.15,0.6,0.7,10.0,16000.0,0.63,0.923433593466988,0.1546695268142812,1.9955432580838581,98138578.89310601,14720786.833965901,83417792.05914012,0.7525983786755951,True,True
0.0,1.0,0.3,10.0,16000.0,0.63,0.8200059518925272,1.17892550438441,1.0,374852338.5128778,56227850.77693167,318624487.7359461,0.6683048507924096,True,True
0.1,1.0,0.3,10.0,16000.0,0.63,0.9102521973681972,1.17892550438441,1.5336349891299565,574886662.1005362,86232999.31508043,488653662.78545576,0.7418555408550807,False,True
0.15,1.0,0.3,10.0,16000.0,0.63,0.9196655100480653,1.17892550438441,1.8508602657899138,693799298.8919158,104069894.83378737,589729404.0581284,0.7495273906891732,False,True
0.0,1.0,0.5,10.0,16000.0,0.63,0.8028585300290828,0.25464790894703254,1.0,80968105.1187816,12145215.767817238,68822889.35096435,0.6543297019737024,True,True
0.1,1.0,0.5,10.0,16000.0,0.63,0.8730081076891283,0.25464790894703254,1.7926932273377534,145150973.67681104,21772646.051521655,123378327.62528938,0.7115016077666395,True,True
0.15,1.0,0.5,10.0,16000.0,0.63,0.898129727953851,0.25464790894703254,2.1302880900058194,172485390.00487965,25872808.50073195,146612581.5041477,0.7319757282823885,True,True
0.0,1.0,0.7,10.0,16000.0,0.63,0.7711761913528161,0.09280171608856873,1.0,29507326.93833149,4426099.040749723,25081227.897581764,0.628508595952545,True,True
