sweep,v,rho_impact,length,zbar,t_star,de_eff_dlnkappa,bracket_fraction,delta_e_eff,delta_f,delta_f_inherited
sweep_heavyplate,16000.0,0.01,10.0,0.1565,16496.8,1.686106e-02,0.30,4.423739e-03,2.167632e-03,1.902377e-02
sweep_heavyplate,16000.0,0.04,10.0,0.1417,18286.6,9.328532e-03,0.30,2.447473e-03,1.199262e-03,1.052507e-02
sweep_heavyplate,16000.0,0.1,10.0,0.1313,19636.1,4.660238e-03,0.30,1.222680e-03,5.991132e-04,5.257991e-03
sweep_heavyplate,16000.0,0.28,10.0,0.1178,21271.2,1.470106e-03,0.30,3.857033e-04,1.889946e-04,1.658672e-03
sweep_heavyplate,22000.0,0.01,10.0,0.5308,22558.3,2.234480e-02,0.30,5.862477e-03,2.872614e-03,2.521089e-02
sweep_heavyplate,22000.0,0.04,10.0,0.4917,25729.8,9.155223e-03,0.30,2.402003e-03,1.176982e-03,1.032953e-02
sweep_heavyplate,22000.0,0.1,10.0,0.4636,28221.2,3.750255e-03,0.30,9.839330e-04,4.821272e-04,4.231288e-03
sweep_heavyplate,22000.0,0.28,10.0,0.4286,31444.0,1.194882e-03,0.30,3.134944e-04,1.536122e-04,1.348146e-03
sweep_heavyplate,28000.0,0.01,10.0,0.9632,33367.8,2.839011e-02,0.30,7.448550e-03,3.649789e-03,3.203161e-02
sweep_heavyplate,28000.0,0.04,10.0,0.9112,37057.6,7.938958e-03,0.30,2.082899e-03,1.020620e-03,8.957262e-03
sweep_heavyplate,28000.0,0.1,10.0,0.8697,40147.0,3.342677e-03,0.30,8.769989e-04,4.297295e-04,3.771431e-03
sweep_heavyplate,28000.0,0.28,10.0,0.8175,44369.8,1.623209e-03,0.30,4.258720e-04,2.086773e-04,1.831412e-03
sweep_heavyplate,45000.0,0.01,10.0,2.5620,76508.5,5.198366e-02,0.20,9.477742e-03,4.644094e-03,5.865144e-02
sweep_heavyplate,45000.0,0.04,10.0,2.4485,83997.9,2.115939e-02,0.20,3.857813e-03,1.890329e-03,2.387344e-02
sweep_heavyplate,45000.0,0.1,10.0,2.3661,89565.0,7.638073e-03,0.20,1.392585e-03,6.823668e-04,8.617784e-03
sweep_heavyplate,45000.0,0.28,10.0,2.2683,96570.3,2.614653e-03,0.20,4.767076e-04,2.335867e-04,2.950026e-03
sweep_heavyplate,55000.0,0.01,10.0,3.3297,107568.4,5.147762e-02,0.20,9.385479e-03,4.598885e-03,5.808048e-02
