closing_speed_km_s,rho_kg_m3,dissipated_MJ_kg,temp_K,pressure_Pa,ionised_fraction,dissociated_fraction,n_e_m3
44,0.05,91.1690,12874.0,9.402701e+05,0.054990,1.000000,2.757361e+23
45.58,0.05,97.8341,13534.6,1.008335e+06,0.076141,1.000000,3.817907e+23
46,0.05,99.6454,13695.8,1.025913e+06,0.082015,1.000000,4.112446e+23
48,0.05,108.4986,14403.6,1.108077e+06,0.111240,1.000000,5.577890e+23
50,0.05,117.7285,15039.6,1.189358e+06,0.142310,1.000000,7.135833e+23
52,0.05,127.3352,15628.0,1.271272e+06,0.175017,1.000000,8.775831e+23
54,0.05,137.3186,16184.0,1.354825e+06,0.209222,1.000000,1.049096e+24
56,0.05,147.6787,16718.3,1.440760e+06,0.244824,1.000000,1.227612e+24
56.53,0.05,150.4872,16857.3,1.464010e+06,0.254481,1.000000,1.276038e+24
58,0.05,158.4155,17238.9,1.529677e+06,0.281739,1.000000,1.412716e+24
60,0.05,169.5291,17752.1,1.622109e+06,0.319895,1.000000,1.604043e+24
62,0.05,181.0194,18263.5,1.718561e+06,0.359223,1.000000,1.801243e+24
64,0.05,192.8864,18778.1,1.819550e+06,0.399652,1.000000,2.003962e+24
66,0.05,205.1302,19301.3,1.925628e+06,0.441104,1.000000,2.211818e+24
68,0.05,217.7507,19838.2,2.037418e+06,0.483496,1.000000,2.424379e+24
70,0.05,230.7479,20395.1,2.155650e+06,0.526725,1.000000,2.641143e+24
72,0.05,244.1219,20979.2,2.281206e+06,0.570670,1.000000,2.861494e+24
74,0.05,257.8726,21599.3,2.415191e+06,0.615177,1.000000,3.084663e+24
76,0.05,272.0000,22267.1,2.559025e+06,0.660046,1.000000,3.309650e+24
44,0.08,91.1690,13213.2,1.539648e+06,0.051969,1.000000,4.169423e+23
45.58,0.08,97.8341,13926.4,1.654586e+06,0.072602,1.000000,5.824776e+23
46,0.08,99.6454,14100.4,1.684230e+06,0.078346,1.000000,6.285584e+23
48,0.08,108.4986,14864.4,1.822627e+06,0.106977,1.000000,8.582569e+23
50,0.08,117.7285,15550.9,1.959333e+06,0.137476,1.000000,1.102946e+24
52,0.08,127.3352,16185.9,2.096967e+06,0.169619,1.000000,1.360823e+24
54,0.08,137.3186,16786.0,2.237261e+06,0.203257,1.000000,1.630697e+24
56,0.08,147.6787,17362.7,2.381483e+06,0.238281,1.000000,1.911693e+24
56.53,0.08,150.4872,17512.7,2.420493e+06,0.247784,1.000000,1.987929e+24
58,0.08,158.4155,17924.5,2.530657e+06,0.274604,1.000000,2.203106e+24
