v,d_over_d,axis,x,rel_delta,eta_capture,e_eff,f,s,peak_compressive,survives_baseline,cliff,sigma_noise_f,solver_valid
11000.0,0.1,alpha_div,0.033,0.33,0.9780252683369582,0.5774551558097685,0.7713955010251835,0.015574566597886726,146477959.72602257,True,False,0.00306642891843121,True
11000.0,0.1,alpha_div,0.067,0.67,0.98250648682667,0.5774551558097685,0.7749299616306364,0.014544866836327114,140604373.58167362,True,False,0.00306642891843121,True
11000.0,0.1,alpha_div,0.1,1.0,0.9826314226294959,0.5774551558097685,0.7750285019437929,0.009873460247935093,137125913.20627484,True,False,0.00306642891843121,True
11000.0,0.1,l_over_d,0.24,-0.2,0.9924402252516273,0.5801303028604692,0.7840924368488831,-0.10841949921115905,185553767.20084545,True,False,0.00306642891843121,True
11000.0,0.1,l_over_d,0.27,-0.09999999999999991,0.9784332334291531,0.5786287732464221,0.7722914274958971,-0.06307012257028519,164844772.73801738,True,True,0.00306642891843121,True
11000.0,0.1,l_over_d,0.285,-0.050000000000000044,0.9756726697450467,0.5780827959752639,0.7698461273139569,-0.06241500794252017,156299475.39960685,True,False,0.00306642891843121,True
11000.0,0.1,l_over_d,0.315,0.050000000000000044,0.9759488227975567,0.5768909422423245,0.7694824293807633,0.052936933539887335,151689575.66254583,True,False,0.00306642891843121,True
11000.0,0.1,l_over_d,0.33,0.10000000000000009,0.9708340166654431,0.5763878217211829,0.7652054603920322,-0.02926106396589774,144772628.99410638,True,False,0.00306642891843121,True
11000.0,0.1,l_over_d,0.36,0.2,0.9653402034349791,0.5752437567578224,0.7603230643041384,-0.046439699124648605,135835045.06060058,True,False,0.00306642891843121,True
11000.0,0.1,nominal,0.5,0.0,0.9730243058256516,0.5774551558097685,0.7674511039764476,nan,154613772.4958769,True,False,0.00306642891843121,True
11000.0,0.1,r_foot_over_r,0.4,-0.19999999999999996,0.9944743061825353,0.5857195663127566,0.7884786827544746,-0.13699621167443393,290949117.33447707,True,False,0.00306642891843121,True
11000.0,0.1,r_foot_over_r,0.45,-0.09999999999999998,0.9775425328217707,0.5812901099413661,0.7728891695990496,-0.07085878949714774,203623151.31555927,True,False,0.00306642891843121,True
11000.0,0.1,r_foot_over_r,0.475,-0.050000000000000044,0.973766707586226,0.5793269382934514,0.7689479964521244,-0.03900945527137572,173353600.1522193,True,False,0.00306642891843121,True
11000.0,0.1,r_foot_over_r,0.525,0.050000000000000044,0.985972981289867,0.5757096709805412,0.7768035809719798,0.2437282830677698,137548251.10195282,True,False,0.00306642891843121,True
11000.0,0.1,r_foot_over_r,0.55,0.10000000000000009,0.9771585397916409,0.5739539708354773,0.7690012819204249,0.02019904507199659,119392882.14539307,True,False,0.00306642891843121,True
11000.0,0.1,r_foot_over_r,0.6,0.19999999999999996,0.9672942738393837,0.5704311739067889,0.7595345409894492,-0.051576986116638274,94228956.28823666,True,False,0.00306642891843121,True
11000.0,0.1,taper_frac,0.1,0.33333333333333337,0.9680982902015701,0.578230407568203,0.7639410795554522,-0.013720839293116984,164669835.46630776,True,False,0.00306642891843121,True
11000.0,0.1,taper_frac,0.2,0.6666666666666667,0.9773475535948525,0.5789960017733149,0.7716139397346014,0.00813635371019327,175630829.41182315,True,True,0.00306642891843121,True
11000.0,0.1,taper_frac,0.3,1.0,0.9705396573187596,0.579673974465513,0.766568118926561,-0.0011505424193300733,187231515.01913202,True,False,0.00306642891843121,True
11000.0,0.0,alpha_div,0.033,0.33,0.9061163082345794,0.5774551558097685,0.7146789210939754,-0.010920041297952428,122519502.09394287,True,False,0.005210602335815267,True
11000.0,0.0,alpha_div,0.067,0.67,0.9034910376135195,0.5774551558097685,0.7126082977556819,-0.009687239867564514,122519502.09394287,True,False,0.005210602335815267,True
11000.0,0.0,alpha_div,0.1,1.0,0.9007457145189635,0.5774551558097685,0.7104429857207464,-0.009509301587231254,122519502.09394287,True,False,0.005210602335815267,True
11000.0,0.0,l_over_d,0.24,-0.2,0.9202336307108405,0.5801303028604692,0.7270445227987548,-0.06818176572988496,153480532.4933798,True,False,0.005210602335815267,True
11000.0,0.0,l_over_d,0.27,-0.09999999999999991,0.9150664773758006,0.5786287732464221,0.7222751353093425,-0.06986932938672803,136302611.6511542,True,False,0.005210602335815267,True
11000.0,0.0,l_over_d,0.285,-0.050000000000000044,0.9123431809960129,0.5780827959752639,0.7198765389775771,-0.07285680045092217,129059916.62430601,True,False,0.005210602335815267,True
11000.0,0.0,l_over_d,0.315,0.050000000000000044,0.9093934107229691,0.5768909422423245,0.717007116151952,-0.007153465699050904,116656327.23995046,True,False,0.005210602335815267,True
11000.0,0.0,l_over_d,0.33,0.10000000000000009,0.9070027679597661,0.5763878217211829,0.7148940588395896,-0.03303671282222889,111338052.06946799,True,False,0.005210602335815267,True
11000.0,0.0,l_over_d,0.36,0.2,0.9015094640379422,0.5752437567578224,0.7100485774419295,-0.05029590330916272,102015371.54883806,True,False,0.005210602335815267,True
11000.0,0.0,nominal,0.5,0.0,0.9093934107229691,0.5774551558097685,0.717263662202189,nan,122519502.09394287,True,False,0.005210602335815267,True
11000.0,0.0,r_foot_over_r,0.4,-0.19999999999999996,0.9066990694881661,0.5857195663127566,0.7188852276224774,-0.011303830834743728,240587166.6497232,True,False,0.005210602335815267,True
11000.0,0.0,r_foot_over_r,0.45,-0.09999999999999998,0.9088245247007254,0.5812901099413661,0.7185576162907099,-0.018040145579774302,168620934.64514112,True,False,0.005210602335815267,True
11000.0,0.0,r_foot_over_r,0.475,-0.050000000000000044,0.9093516660354158,0.5793269382934514,0.7180817912758812,-0.022812505827505665,143122912.69404253,True,False,0.005210602335815267,True
