v,rho_impact,length,e_eff,tau_flux_weighted,escape_share_of_ke,bias_rosseland,bias_planck,mean_selection_spread,worst_bias,worst_tau,delta_e_eff,delta_f,verdict
69000.0,0.04,10.0,0.586553,2.087687e+02,1.854838e-01,7.509084e-01,-4.007767e-01,1.151685e+00,9.021834e+03,3.174891e+02,1.187286e-01,5.817702e-02,ESCALATE
63000.0,0.04,10.0,0.602081,2.048054e+02,1.480125e-01,9.220724e-01,-4.359140e-01,1.357986e+00,7.220826e+03,3.470243e+02,1.133388e-01,5.553601e-02,ESCALATE
55000.0,0.04,10.0,0.620180,1.963000e+02,1.001082e-01,8.679729e-01,-4.538654e-01,1.321838e+00,6.427591e+02,4.107692e+02,7.005324e-02,3.432609e-02,ESCALATE
55000.0,0.02,10.0,0.517524,1.328689e+02,2.773640e-01,2.054120e-01,-4.428268e-01,6.482388e-01,2.393420e+03,1.627014e+02,5.504472e-02,2.697192e-02,ESCALATE
63000.0,0.02,10.0,0.475866,1.279511e+02,3.668280e-01,1.400231e-01,-4.516544e-01,5.916775e-01,5.441158e+02,1.349797e+02,5.396939e-02,2.644500e-02,ESCALATE
28000.0,0.01,10.0,0.525947,1.193534e+01,1.740804e-01,-3.217164e-01,-4.520973e-01,1.303809e-01,1.227917e+02,5.992961e+01,5.324160e-02,2.608838e-02,ESCALATE
69000.0,0.02,10.0,0.449977,1.244979e+02,4.204620e-01,1.121488e-01,-4.629668e-01,5.751156e-01,4.424015e+03,1.235605e+02,5.239633e-02,2.567420e-02,ESCALATE
45000.0,0.02,10.0,0.570727,1.086738e+02,1.506383e-01,3.338550e-01,-4.603544e-01,7.942094e-01,3.634942e+03,2.408547e+02,4.405901e-02,2.158891e-02,ESCALATE
22000.0,0.01,10.0,0.522713,7.836875e+00,1.290314e-01,-3.542632e-01,-4.451691e-01,9.090598e-02,5.629178e+01,3.733722e+01,4.372486e-02,2.142518e-02,ESCALATE
69000.0,0.01,10.0,0.335791,7.304993e+01,6.018891e-01,-4.302631e-02,-4.880009e-01,4.449746e-01,8.032868e+03,5.715239e+01,3.856125e-02,1.889501e-02,PASS
35000.0,0.01,10.0,0.512040,2.845272e+01,2.194935e-01,-1.512219e-01,-4.636809e-01,3.124590e-01,3.191642e+03,7.247184e+01,3.241180e-02,1.588178e-02,ESCALATE
63000.0,0.01,10.0,0.358727,7.420514e+01,5.581304e-01,-3.650797e-02,-4.913052e-01,4.547972e-01,6.433968e+03,6.278661e+01,2.840069e-02,1.391634e-02,PASS
45000.0,0.04,10.0,0.628710,2.260432e+02,6.072802e-02,5.666561e-01,-2.029740e-01,7.696300e-01,2.397946e+02,7.524640e+02,2.736708e-02,1.340987e-02,ESCALATE
22000.0,0.02,10.0,0.576851,1.595281e+01,9.629719e-02,-3.183008e-01,-4.484938e-01,1.301930e-01,1.029596e+01,1.315294e+02,2.656793e-02,1.301828e-02,ESCALATE
28000.0,0.02,10.0,0.581306,2.340582e+01,1.222114e-01,-2.234171e-01,-4.430236e-01,2.196065e-01,3.254165e+01,1.966291e+02,2.348514e-02,1.150772e-02,ESCALATE
16000.0,0.01,10.0,0.496947,1.983557e+01,6.005939e-02,-3.583381e-01,-4.219763e-01,6.363813e-02,1.617479e+01,8.334396e+00,2.165379e-02,1.061036e-02,ESCALATE
55000.0,0.01,10.0,0.395423,7.307635e+01,4.836237e-01,-2.969956e-02,-4.900175e-01,4.603179e-01,6.021738e+03,7.093139e+01,1.816207e-02,8.899415e-03,PASS
