fluid,temp_c_k,area_ratio,exit_temp_k,ratio,exit_rho,slope
methane,8000,1.0163,7058.61,0.88233,3.867341e+00,-0.8670
methane,8000,1.0349,6967.66,0.87096,3.620523e+00,-0.6249
methane,8000,1.0591,6879.04,0.85988,3.389459e+00,-0.5058
methane,8000,1.0883,6792.64,0.84908,3.173140e+00,-0.4344
methane,8000,1.1221,6708.39,0.83855,2.970628e+00,-0.3866
methane,8000,1.1604,6626.21,0.82828,2.781040e+00,-0.3521
methane,8000,1.2030,6546.02,0.81825,2.603551e+00,-0.3259
methane,8000,1.2499,6467.74,0.80847,2.437390e+00,-0.3052
methane,8000,1.3010,6391.31,0.79891,2.281834e+00,-0.2884
methane,8000,1.3566,6316.66,0.78958,2.136205e+00,-0.2743
methane,8000,1.4167,6243.74,0.78047,1.999871e+00,-0.2624
methane,8000,1.4814,6172.47,0.77156,1.872237e+00,-0.2521
methane,8000,1.5509,6102.82,0.76285,1.752750e+00,-0.2431
methane,8000,1.6255,6034.72,0.75434,1.640888e+00,-0.2351
methane,8000,1.7054,5968.12,0.74601,1.536165e+00,-0.2280
methane,8000,1.7908,5902.98,0.73787,1.438125e+00,-0.2215
methane,8000,1.8820,5839.24,0.72991,1.346343e+00,-0.2156
methane,8000,1.9794,5776.88,0.72211,1.260418e+00,-0.2102
methane,8000,2.0833,5715.83,0.71448,1.179977e+00,-0.2052
methane,8000,2.1941,5656.07,0.70701,1.104670e+00,-0.2006
methane,8000,2.3122,5597.55,0.69969,1.034169e+00,-0.1963
methane,8000,2.4380,5540.25,0.69253,9.681674e-01,-0.1923
methane,8000,2.5719,5484.11,0.68551,9.063781e-01,-0.1885
methane,8000,2.7146,5429.11,0.67864,8.485323e-01,-0.1850
methane,8000,2.8664,5375.22,0.67190,7.943782e-01,-0.1816
methane,8000,3.0281,5322.40,0.66530,7.436803e-01,-0.1784
methane,8000,3.2001,5270.62,0.65883,6.962180e-01,-0.1754
methane,8000,3.3832,5219.86,0.65248,6.517847e-01,-0.1725
methane,8000,3.5780,5170.09,0.64626,6.101873e-01,-0.1698
methane,8000,3.7853,5121.27,0.64016,5.712446e-01,-0.1671
methane,8000,4.0059,5073.39,0.63417,5.347873e-01,-0.1646
methane,8000,4.2407,5026.41,0.62830,5.006567e-01,-0.1622
methane,8000,4.4904,4980.32,0.62254,4.687043e-01,-0.1598
methane,8000,4.7561,4935.08,0.61689,4.387912e-01,-0.1576
methane,8000,5.0389,4890.68,0.61134,4.107872e-01,-0.1554
methane,8000,5.3397,4847.10,0.60589,3.845704e-01,-0.1533
methane,8000,5.6599,4804.31,0.60054,3.600268e-01,-0.1513
methane,8000,6.0005,4762.29,0.59529,3.370495e-01,-0.1493
methane,8000,6.3630,4721.03,0.59013,3.155387e-01,-0.1474
methane,8000,6.7487,4680.49,0.58506,2.954008e-01,-0.1456
methane,8000,7.1592,4640.68,0.58008,2.765480e-01,-0.1438
