volume_m3,temp_k,throat_area_m2,time_ms,x_m,area_ratio,rho,temp_station_k,pressure_pa,speed_m_s,n_h,n_third,k_eff_m6_s,tau_exp_s,tau_rec_s,damkohler,verdict,store_held,margin_decades
200,10000,2,0.000013,0.0001,1.00013,1.630662e+00,8535.79,3.379091e+07,5397.90,2.225153e+26,2.863755e+26,5.106673e-45,1.038941e-06,3.073026e-09,3.380839e+02,equilibrium,0.903373,1.5290
200,10000,2,0.000228,0.0012,1.00231,1.578531e+00,8454.86,3.233013e+07,5564.02,2.149964e+26,2.766411e+26,5.156926e-45,6.622111e-06,3.260328e-09,2.031118e+03,equilibrium,0.899873,2.3077
200,10000,2,0.000646,0.0036,1.00668,1.528067e+00,8376.28,3.093804e+07,5722.86,2.077345e+26,2.672332e+26,5.206840e-45,1.286394e-05,3.459605e-09,3.718326e+03,equilibrium,0.896348,2.5703
200,10000,2,0.001234,0.0070,1.01298,1.479216e+00,8299.92,2.961097e+07,5875.08,2.007209e+26,2.581417e+26,5.256431e-45,1.807701e-05,3.671625e-09,4.923437e+03,equilibrium,0.892803,2.6923
200,10000,2,0.001965,0.0114,1.02102,1.431927e+00,8225.67,2.834549e+07,6021.27,1.939467e+26,2.493565e+26,5.305713e-45,2.250645e-05,3.897203e-09,5.775027e+03,equilibrium,0.889241,2.7616
200,10000,2,0.002820,0.0166,1.03067,1.386150e+00,8153.40,2.713837e+07,6161.94,1.874037e+26,2.408679e+26,5.354702e-45,2.633136e-05,4.137210e-09,6.364522e+03,equilibrium,0.885667,2.8038
200,10000,2,0.003785,0.0226,1.04178,1.341836e+00,8083.02,2.598658e+07,6297.51,1.810836e+26,2.326664e+26,5.403411e-45,2.968499e-05,4.392574e-09,6.757994e+03,equilibrium,0.882083,2.8298
200,10000,2,0.004846,0.0293,1.05428,1.298938e+00,8014.43,2.488727e+07,6428.38,1.749787e+26,2.247427e+26,5.451853e-45,3.266805e-05,4.664283e-09,7.003875e+03,equilibrium,0.878492,2.8453
200,10000,2,0.005995,0.0368,1.06808,1.257412e+00,7947.53,2.383777e+07,6554.89,1.690815e+26,2.170878e+26,5.500041e-45,3.535781e-05,4.953390e-09,7.138103e+03,equilibrium,0.874898,2.8536
200,10000,2,0.007224,0.0449,1.08311,1.217214e+00,7882.23,2.283555e+07,6677.35,1.633846e+26,2.096929e+26,5.547986e-45,3.781432e-05,5.261020e-09,7.187640e+03,equilibrium,0.871303,2.8566
