fluid,temp_k,rho,held,d_ln_held_d_ln_rho
methane,2500,0.001,0.162222,-0.1847
methane,2500,0.003,0.137642,-0.1158
methane,2500,0.01,0.124016,-0.0622
methane,2500,0.03,0.117749,-0.0351
methane,2500,0.1,0.114018,-0.0205
methane,2500,0.3,0.111778,-0.0172
methane,2500,1,0.109018,-0.0276
methane,2500,3,0.104105,-0.0617
methane,2500,10,0.092507,-0.1423
methane,3000,0.001,0.381216,-0.2394
methane,3000,0.003,0.290152,-0.2545
methane,3000,0.01,0.214187,-0.2432
methane,3000,0.03,0.167875,-0.1943
methane,3000,0.1,0.138934,-0.1205
methane,3000,0.3,0.125409,-0.0700
methane,3000,1,0.117588,-0.0412
methane,3000,3,0.112915,-0.0360
methane,3000,10,0.107035,-0.0591
methane,3500,0.001,0.625195,-0.1359
methane,3500,0.003,0.521172,-0.1936
methane,3500,0.01,0.401669,-0.2345
methane,3500,0.03,0.307114,-0.2513
methane,3500,0.1,0.226940,-0.2459
methane,3500,0.3,0.176477,-0.2058
methane,3500,1,0.143612,-0.1355
methane,3500,3,0.127608,-0.0838
methane,3500,10,0.117435,-0.0604
methane,4000,0.001,0.773383,-0.0842
methane,4000,0.003,0.698178,-0.1079
methane,4000,0.01,0.593298,-0.1653
methane,4000,0.03,0.480904,-0.2140
methane,4000,0.1,0.364244,-0.2435
methane,4000,0.3,0.277046,-0.2517
methane,4000,1,0.206146,-0.2330
methane,4000,3,0.163670,-0.1826
methane,4000,10,0.136695,-0.1192
methane,4500,0.001,0.921624,-0.0805
methane,4500,0.003,0.833338,-0.0973
methane,4500,0.01,0.736502,-0.1124
methane,4500,0.03,0.637271,-0.1550
methane,4500,0.1,0.511281,-0.2088
methane,4500,0.3,0.399016,-0.2390
methane,4500,1,0.296458,-0.2512
methane,4500,3,0.225684,-0.2411
methane,4500,10,0.172829,-0.1966
methane,5000,0.001,0.991232,-0.0138
methane,5000,0.003,0.956260,-0.0579
methane,5000,0.01,0.864002,-0.1031
methane,5000,0.03,0.763741,-0.1224
methane,5000,0.1,0.643976,-0.1652
methane,5000,0.3,0.523266,-0.2111
methane,5000,1,0.397380,-0.2420
methane,5000,3,0.302625,-0.2512
methane,5000,10,0.224648,-0.2389
methane,6000,0.001,0.999460,-0.0006
methane,6000,0.003,0.998131,-0.0022
methane,6000,0.01,0.991088,-0.0125
methane,6000,0.03,0.959244,-0.0545
methane,6000,0.1,0.862381,-0.1178
methane,6000,0.3,0.741990,-0.1555
methane,6000,1,0.598518,-0.2020
methane,6000,3,0.469872,-0.2356
methane,6000,10,0.349728,-0.2515
methane,8000,0.001,0.999943,-0.0001
methane,8000,0.003,0.999828,-0.0002
methane,8000,0.01,0.999419,-0.0006
methane,8000,0.03,0.998197,-0.0019
methane,8000,0.1,0.993371,-0.0075
methane,8000,0.3,0.975753,-0.0303
methane,8000,1,0.903639,-0.1050
methane,8000,3,0.773357,-0.1738
methane,8000,10,0.607577,-0.2235
water,2500,0.001,0.102638,-0.4189
water,2500,0.003,0.065220,-0.4060
water,2500,0.01,0.040383,-0.3902
water,2500,0.03,0.026500,-0.3770
water,2500,0.1,0.016960,-0.3649
water,2500,0.3,0.011415,-0.3563
water,2500,1,0.007466,-0.3493
water,2500,3,0.005100,-0.3447
water,2500,10,0.003376,-0.3411
water,3000,0.001,0.468914,-0.3443
water,3000,0.003,0.312402,-0.3890
water,3000,0.01,0.193187,-0.4050
water,3000,0.03,0.123834,-0.4028
water,3000,0.1,0.076691,-0.3924
water,3000,0.3,0.050153,-0.3808
water,3000,1,0.031945,-0.3688
water,3000,3,0.021413,-0.3597
water,3000,10,0.013954,-0.3520
