fluid,estimated,temp_c_k,volume_m3,throat_area_m2,area_ratio,slug_ratio,rho_c,pressure_c_bar,u_j_kg,store_charged,exit_temp_k,exit_rho,exit_speed_m_s,conversion,conversion_capped,store_returned,store_held_exit,min_damkohler,margin_decades,verdict,freeze_area_ratio,freeze_temp_k,nozzle_length_m,blowdown_ms,blowdown_fits,isp_true_s,isp_effective_s,below_carbon_floor
methane,False,6000,50,7,4.039,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,4143.60,1.875519e+00,6230.11,0.35746,0.35746,0.27909,0.19840,1.299146e+04,3.1137,equilibrium,,,5.625,3.92,True,635.3,647.8,False
methane,False,6000,50,4,7.069,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,3839.60,9.864524e-01,6769.22,0.42200,0.42200,0.33664,0.18256,2.792827e+03,2.4460,equilibrium,,,6.985,6.86,True,690.3,703.9,True
methane,False,6000,50,2,14.137,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,3519.98,4.571638e-01,7301.71,0.49101,0.49101,0.39956,0.16524,4.270636e+02,1.6305,equilibrium,,,8.218,13.71,True,744.6,759.2,True
methane,False,6000,50,1,28.274,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,3241.32,2.158414e-01,7735.29,0.55105,0.55105,0.45447,0.15013,6.712373e+01,0.8269,equilibrium,,,9.091,27.43,True,788.8,804.3,True
methane,False,6000,50,0.5,56.549,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,2986.71,1.030573e-01,8099.62,0.60418,0.60418,0.50164,0.13715,1.016462e+01,0.0071,equilibrium,,,9.707,54.85,True,825.9,842.2,True
methane,False,6000,50,0.2,141.372,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,2662.25,3.926751e-02,8503.15,0.66588,0.63425,0.49010,0.12355,7.140042e-01,-1.1463,freezing,47.198,3051.5,10.255,137.14,True,846.2,862.9,True
methane,False,6000,50,0.1,282.743,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,2406.93,1.904343e-02,8762.64,0.70715,0.65631,0.47908,0.11639,7.827448e-02,-2.1064,frozen,40.009,3111.6,10.530,274.27,True,860.8,877.8,True
methane,False,6000,50,0.05,565.487,50.8038,2.590190e+01,2048.5699,5.429138e+07,0.27521,2131.97,9.286784e-03,8989.04,0.74416,0.67949,0.46764,0.11220,6.718168e-03,-3.1727,frozen,33.933,3172.4,10.725,548.54,False,875.9,893.1,True
methane,False,6000,100,7,4.039,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,4165.67,8.499443e-01,6493.24,0.35011,0.35011,0.27566,0.24362,5.251012e+03,2.7202,equilibrium,,,5.625,7.47,True,662.1,676.6,False
methane,False,6000,100,4,7.069,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,3871.62,4.473192e-01,7050.63,0.41280,0.41280,0.33165,0.22479,1.162162e+03,2.0653,equilibrium,,,6.985,13.07,True,719.0,734.7,True
methane,False,6000,100,2,14.137,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,3567.24,2.074455e-01,7600.86,0.47974,0.47974,0.39339,0.20403,1.866758e+02,1.2711,equilibrium,,,8.218,26.14,True,775.1,792.0,True
methane,False,6000,100,1,28.274,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,3308.64,9.796605e-02,8049.11,0.53799,0.53799,0.44847,0.18550,3.152978e+01,0.4987,equilibrium,,,9.091,52.28,True,820.8,838.7,True
methane,False,6000,100,0.5,56.549,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,3081.87,4.677235e-02,8426.33,0.58960,0.57838,0.47822,0.16889,5.208190e+00,-0.2833,freezing,42.544,3171.7,9.707,104.57,True,851.0,869.6,True
methane,False,6000,100,0.2,141.372,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,2814.46,1.782928e-02,8845.35,0.64969,0.59672,0.46245,0.14963,4.860556e-01,-1.3133,freezing,34.148,3244.1,10.255,261.42,True,864.4,883.3,True
methane,False,6000,100,0.1,282.743,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,2625.11,8.643925e-03,9116.75,0.69017,0.60899,0.45030,0.13712,7.403386e-02,-2.1306,frozen,28.975,3300.0,10.530,522.84,False,873.3,892.4,True
methane,False,6000,100,0.05,565.487,45.7091,1.167728e+01,1008.1174,6.021309e+07,0.33634,2436.26,4.212699e-03,9356.71,0.72699,0.62078,0.43788,0.12658,1.075418e-02,-2.9684,frozen,24.601,3357.5,10.725,1045.69,False,881.7,901.0,True
methane,False,6000,200,7,4.039,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,4177.05,3.801954e-01,6800.99,0.34211,0.34211,0.26948,0.30064,2.024094e+03,2.3062,equilibrium,,,5.625,14.18,True,693.5,710.6,False
methane,False,6000,200,4,7.069,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,3888.00,2.002098e-01,7380.39,0.40289,0.40289,0.32297,0.27862,4.584426e+02,1.6613,equilibrium,,,6.985,24.82,True,752.6,771.1,True
methane,False,6000,200,2,14.137,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,3590.90,9.290836e-02,7951.71,0.46768,0.46768,0.38189,0.25438,7.607217e+01,0.8812,equilibrium,,,8.218,49.64,True,810.8,830.8,True
methane,False,6000,200,1,28.274,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,3341.25,4.388985e-02,8416.94,0.52400,0.52400,0.43463,0.23267,1.337132e+01,0.1262,equilibrium,,,9.091,99.28,True,858.3,879.4,True
methane,False,6000,200,0.5,56.549,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,3126.01,2.095581e-02,8808.48,0.57389,0.54303,0.43283,0.21303,2.284515e+00,-0.6412,freezing,27.586,3349.3,9.707,198.56,True,873.7,895.2,True
methane,False,6000,200,0.2,141.372,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,2880.44,7.993179e-03,9243.59,0.63199,0.55581,0.41677,0.18971,2.424053e-01,-1.6155,freezing,22.184,3424.0,10.255,496.41,False,884.0,905.7,True
methane,False,6000,200,0.1,282.743,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,2715.94,3.876761e-03,9525.96,0.67119,0.56333,0.40444,0.17386,4.219978e-02,-2.3747,frozen,18.853,3482.2,10.530,992.82,False,889.9,911.8,True
methane,False,6000,200,0.05,565.487,40.6052,5.200652e+00,494.5716,6.759970e+07,0.41154,2564.32,1.888356e-03,9776.49,0.70695,0.56940,0.39186,0.15942,7.393569e-03,-3.1311,frozen,16.033,3542.4,10.725,1985.64,False,894.7,916.7,True
methane,False,6000,400,7,4.039,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,4179.57,1.689405e-01,7141.74,0.33406,0.33406,0.26291,0.36831,7.338004e+02,1.8656,equilibrium,,,5.625,26.89,True,728.3,748.6,False
methane,False,6000,400,4,7.069,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,3893.19,8.900864e-02,7746.07,0.39299,0.39299,0.31392,0.34282,1.700360e+02,1.2305,equilibrium,,,6.985,47.06,True,789.9,811.9,True
methane,False,6000,400,2,14.137,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,3599.80,4.132894e-02,8341.23,0.45570,0.45570,0.36986,0.31487,2.900628e+01,0.4625,equilibrium,,,8.218,94.11,True,850.6,874.3,True
methane,False,6000,400,1,28.274,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,3354.37,1.952993e-02,8825.47,0.51014,0.49383,0.39547,0.28991,5.209332e+00,-0.2832,freezing,19.991,3471.9,9.091,188.22,True,885.4,910.1,True
methane,False,6000,400,0.5,56.549,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,3144.16,9.328684e-03,9232.71,0.55831,0.50378,0.38363,0.26731,9.173973e-01,-1.0374,freezing,16.995,3530.4,9.707,376.45,True,894.3,919.3,True
methane,False,6000,400,0.2,141.372,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,2907.04,3.559430e-03,9685.18,0.61437,0.51290,0.36747,0.24038,1.032284e-01,-1.9862,freezing,13.704,3611.7,10.255,941.12,False,902.4,927.6,True
methane,False,6000,400,0.1,282.743,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,2751.08,1.727133e-03,9978.81,0.65219,0.51763,0.35505,0.22191,1.898506e-02,-2.7216,frozen,11.672,3675.2,10.530,1882.24,False,906.5,931.8,True
methane,False,6000,400,0.05,565.487,35.8416,2.302602e+00,242.2832,7.634026e+07,0.49969,2610.74,8.410328e-04,10239.68,0.68674,0.52082,0.34236,0.20486,3.512594e-03,-3.4544,frozen,9.951,3741.2,10.725,3764.47,False,909.3,934.7,True
methane,False,8000,50,7,4.039,30.2710,1.563548e+01,2266.3262,8.993968e+07,0.54815,5083.36,1.176459e+00,8281.86,0.38131,0.38131,0.27275,0.39864,3.038363e+04,3.4826,equilibrium,,,5.625,2.81,True,844.5,872.4,False
methane,False,8000,50,4,7.069,30.2710,1.563548e+01,2266.3262,8.993968e+07,0.54815,4663.89,6.223763e-01,8943.19,0.44463,0.44463,0.32529,0.36984,7.164390e+03,2.8552,equilibrium,,,6.985,4.91,True,912.0,942.1,False
methane,False,8000,50,2,14.137,30.2710,1.563548e+01,2266.3262,8.993968e+07,0.54815,4245.56,2.903458e-01,9585.07,0.51075,0.51075,0.38256,0.33845,1.267045e+03,2.1028,equilibrium,,,8.218,9.82,True,977.4,1009.7,False
methane,False,8000,50,1,28.274,30.2710,1.563548e+01,2266.3262,8.993968e+07,0.54815,3904.81,1.378609e-01,10099.94,0.56710,0.56710,0.43340,0.31058,2.355256e+02,1.3720,equilibrium,,,9.091,19.64,True,1029.9,1063.9,True
methane,False,8000,50,0.5,56.549,30.2710,1.563548e+01,2266.3262,8.993968e+07,0.54815,3619.61,6.612064e-02,10527.95,0.61618,0.61618,0.47917,0.28549,4.373218e+01,0.6408,equilibrium,,,9.707,39.28,True,1073.6,1109.0,True
methane,False,8000,50,0.2,141.372,30.2710,1.563548e+01,2266.3262,8.993968e+07,0.54815,3305.37,2.532295e-02,10998.24,0.67246,0.65925,0.51221,0.25578,4.820231e+00,-0.3169,freezing,97.574,3425.1,10.255,98.20,True,1110.4,1147.1,True
