fluid,volume_m3,temp_c_k,throat_area_m2,station,area_ratio,pressure_c_bar,c_star,viscosity,cp_equilibrium,cp_frozen,prandtl,flux_equilibrium_mw_m2,flux_frozen_mw_m2,blowdown_ms,fluence_equilibrium_mj_m2,surface_temp_k,ablation_um
methane,200,10000,7,bore,4.039,641.6,6986.3,3.0610e-04,1.1593e+04,6.2415e+03,0.8,173.55,93.43,8.00,1.39,7438,10.7
methane,200,10000,7,throat,1.000,641.6,6986.3,3.0610e-04,1.1593e+04,6.2415e+03,0.8,609.65,328.22,8.00,4.87,10183,37.4
methane,200,12000,7,bore,4.039,723.5,7659.5,3.3042e-04,9.2387e+03,6.4277e+03,0.8,197.02,137.08,7.09,1.40,7678,10.7
methane,200,12000,7,throat,1.000,723.5,7659.5,3.3042e-04,9.2387e+03,6.4277e+03,0.8,692.13,481.54,7.09,4.91,10511,37.7
methane,200,15000,7,bore,4.039,815.0,8941.8,3.6422e-04,1.1725e+04,6.6128e+03,0.8,351.39,198.18,6.44,2.26,8872,17.4
methane,200,15000,7,throat,1.000,815.0,8941.8,3.6422e-04,1.1725e+04,6.6128e+03,0.8,1234.39,696.19,6.44,7.95,12147,61.0
methane,400,10000,7,bore,4.039,320.6,6950.5,3.0281e-04,9.3603e+03,6.3780e+03,0.8,80.59,54.91,15.57,1.25,6140,9.6
methane,400,10000,7,throat,1.000,320.6,6950.5,3.0281e-04,9.3603e+03,6.3780e+03,0.8,283.10,192.90,15.57,4.41,8406,33.8
methane,400,12000,7,bore,4.039,360.5,7760.8,3.2872e-04,9.4431e+03,6.4945e+03,0.8,114.03,78.42,14.23,1.62,6697,12.5
methane,400,12000,7,throat,1.000,360.5,7760.8,3.2872e-04,9.4431e+03,6.4945e+03,0.8,400.58,275.50,14.23,5.70,9168,43.7
methane,400,15000,7,bore,4.039,401.3,9131.7,3.6173e-04,1.3648e+04,6.7040e+03,0.8,227.88,111.94,12.97,2.96,7962,22.7
methane,400,15000,7,throat,1.000,401.3,9131.7,3.6173e-04,1.3648e+04,6.7040e+03,0.8,800.52,393.23,12.97,10.38,10900,79.7
methane,673,10000,7,bore,4.039,190.4,6951.7,3.0151e-04,8.7039e+03,6.4332e+03,0.8,49.34,36.47,25.97,1.28,5431,9.8
methane,673,10000,7,throat,1.000,190.4,6951.7,3.0151e-04,8.7039e+03,6.4332e+03,0.8,173.33,128.11,25.97,4.50,7436,34.6
methane,673,12000,7,bore,4.039,213.4,7854.6,3.2777e-04,9.9849e+03,6.5323e+03,0.8,78.45,51.33,24.08,1.89,6099,14.5
methane,673,12000,7,throat,1.000,213.4,7854.6,3.2777e-04,9.9849e+03,6.5323e+03,0.8,275.60,180.30,24.08,6.64,8350,51.0
methane,673,15000,7,bore,4.039,234.9,9282.8,3.5959e-04,1.5656e+04,6.7842e+03,0.8,167.87,72.74,21.93,3.68,7376,28.3
methane,673,15000,7,throat,1.000,234.9,9282.8,3.5959e-04,1.5656e+04,6.7842e+03,0.8,589.71,255.53,21.93,12.93,10099,99.3
methane,100,8000,7,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,1445.22,301.82,5.30,7.66,12635,58.8
methane,100,8000,4,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,1528.40,319.19,9.27,14.17,12813,108.8
methane,100,8000,2,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,1638.10,342.10,18.54,30.38,13037,233.2
methane,100,8000,1,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,1755.67,366.66,37.09,65.12,13265,499.9
methane,100,8000,0.5,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,1881.68,392.97,74.18,139.58,13497,1071.5
methane,100,8000,0.2,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,2062.24,430.68,185.45,382.44,13810,2935.8
methane,100,8000,0.1,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,2210.26,461.59,370.90,819.77,14051,6293.0
methane,100,8000,0.05,throat,1.000,1126.5,5967.8,3.0503e-04,2.4077e+04,5.0282e+03,0.8,2368.90,494.72,741.79,1757.23,14297,13489.4
