fluid,volume_m3,temp_c_k,throat_area_m2,throat_radius_mm,area_ratio,exit_temp_k,conversion,conversion_capped,verdict,isp_effective_s,isp_gain_vs_7m2,flux_throat_mw_m2,blowdown_ms,blowdown_fits,fluence_mj_m2,recession_mm_per_pulse,area_growth_per_pulse,pulses_to_plus_10pc,pulses_to_2x,below_carbon_floor
methane,200,10000,7,1493,4.0,5583,0.4058,0.4058,equilibrium,738.4,0.0000,610,8.0,True,4.9,0.037,0.00005,1947,16524,False
methane,200,10000,4,1128,7.1,5067,0.4679,0.4679,equilibrium,821.7,0.1128,645,14.0,True,9.0,0.069,0.00012,795,6749,False
methane,200,10000,2,798,14.1,4561,0.5317,0.5317,equilibrium,901.7,0.2211,691,28.0,True,19.3,0.148,0.00037,262,2226,False
methane,200,10000,1,564,28.3,4159,0.5852,0.5852,equilibrium,965.3,0.3072,741,56.0,True,41.4,0.318,0.00113,87,734,False
methane,200,10000,0.5,399,56.5,3831,0.6311,0.6227,freezing,1008.0,0.3651,794,111.9,True,88.8,0.682,0.00342,29,242,True
methane,200,10000,0.2,252,141.4,3481,0.6831,0.6291,freezing,1015.2,0.3747,870,279.8,True,243.4,1.869,0.01481,7,56,True
methane,200,10000,0.1,178,282.7,3262,0.7173,0.6330,freezing,1019.6,0.3807,932,559.7,False,521.8,4.006,0.04490,2,18,True
hydrogen,200,10000,7,1493,4.0,5168,0.5325,0.5325,equilibrium,1142.8,0.0000,1249,4.4,True,5.5,0.043,0.00006,1713,14541,False
hydrogen,200,10000,4,1128,7.1,4698,0.6087,0.6087,equilibrium,1290.0,0.1288,1321,7.8,True,10.3,0.079,0.00014,700,5939,False
hydrogen,200,10000,2,798,14.1,4249,0.6868,0.6868,equilibrium,1431.4,0.2526,1416,15.5,True,22.0,0.169,0.00042,231,1959,False
hydrogen,200,10000,1,564,28.3,3894,0.7523,0.7523,equilibrium,1544.1,0.3512,1517,31.0,True,47.1,0.362,0.00128,76,646,False
hydrogen,200,10000,0.5,399,56.5,3599,0.8088,0.7915,freezing,1609.2,0.4081,1626,62.1,True,101.0,0.775,0.00389,25,213,False
hydrogen,200,10000,0.2,252,141.4,3276,0.8730,0.8016,freezing,1625.5,0.4225,1782,155.2,True,276.6,2.124,0.01683,6,49,False
hydrogen,200,10000,0.1,178,282.7,3068,0.9154,0.8032,freezing,1628.3,0.4248,1910,310.5,True,593.0,4.552,0.05103,2,16,False
