case,closing_speed_m_s,k,initial_density_kg_m3,steps,expansion_ratio_end,prescribed_expansion_speed_m_s,store,target_returned_fraction,status,density_kg_m3,temperature_k,pressure_pa,volume_ratio,bond_energy_j_kg,ion_energy_j_kg,bond_returned_fraction,ion_returned_fraction,internal_work_j_kg,hemisphere_radius_m,hemisphere_time_s,hemisphere_expansion_time_s,tau_ion_three_body_s,tau_ion_radiative_s,tau_bond_h_proxy_s,tau_bond_equilibrium_oh_s,da_ion_three_body,da_bond_h_proxy,da_bond_equilibrium_oh
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,ionization,0.1,crossed,0.9109793644606821,15573.285910158214,20468110.28217791,1.0977197058596602,50853160.231873184,9447508.790596336,-6.22083831114395e-06,0.10005680412891349,2129329.369293645,4.993045078142261,1.527890619142136e-05,0.00016643483593807538,2.754170645794046e-11,1.363139490452638e-06,7.851111060540738e-07,0.0007785703106724396,6043011.031006436,211.9888951444948,0.21376982098678807
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,ionization,0.5,crossed,0.5947017702646529,13653.375795863518,11497980.574879497,1.6815150887393226,50849551.65836275,5246293.959188287,6.474025717095877e-05,0.5002527484482959,11040231.070037976,5.755750011213862,9.154939949858143e-05,0.00019185833370712873,1.1593288199094309e-10,3.4068931457750055e-06,1.3597934126900628e-06,0.0013337769264005165,1654908.6886507066,141.09373667841038,0.14384589349952218
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,ionization,0.9,crossed,0.30273261995827366,10468.445713716048,4400290.345459279,3.3032449563506976,50798414.59652876,1047167.1396145903,0.0010703292847991097,0.9002497946152793,22481716.862604246,7.208561261361606,0.0002368305245133558,0.00024028537537872018,3.398189388983539e-09,2.747361096041118e-05,2.970735116754043e-06,0.0019443652833279516,70709.82451940207,80.88414683072338,0.12358036704268383
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,molecular_bonds,0.1,crossed,0.043396092651929,4807.684445754195,268332.2224935396,23.043549289582156,45768404.031089045,200.35082273117374,0.09998339257107003,0.9999809151424253,40403654.84054226,13.773726576675752,0.0008933470560447706,0.0004591242192225251,0.1361914909091655,0.5588384985411744,3.760643097624095e-05,0.0007090646322216502,0.0033711667018077023,12.208662383106532,0.6475068680043896
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,molecular_bonds,0.5,crossed,4.979194938062046e-05,2602.7029211490412,118.3844624928422,20083.567975131544,25426554.601929236,0.0023208354571948304,0.4999973913031751,0.9999999997789237,65531460.00628745,131.5675003527607,0.012672724433653264,0.004385583345092024,48715491110018.29,26534560.923298433,24.018676101522445,112.10709917142388,9.002441000107527e-17,0.0001825905527246791,3.911958633757879e-05
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,molecular_bonds,0.9,not_reached,,,,,,,,,,,,,,,,,,,
3-synodic,45580.0,8.5,1.0,128,100000.0,10000.0,ionization,0.1,crossed,0.9110448225349913,15573.197625450272,20469405.39061167,1.0976408352966542,50853151.932779,9446871.111040888,-6.057640079770721e-06,0.10011754769526438,2130260.238087699,4.992925492755013,1.5266947652696582e-05,0.00016643084975850045,2.7540764105215426e-11,1.3631277613243932e-06,7.849847881727589e-07,0.0007783740863280046,6043073.065172628,212.01792985811653,0.21381859016355662
3-synodic,45580.0,8.5,1.0,128,100000.0,10000.0,ionization,0.5,crossed,0.5948440460522905,13651.71185311345,11499075.413786408,1.6811129011655164,50849487.06295861,5241546.1113184905,6.601049889609634e-05,0.5007050151230523,11049194.318775788,5.755291084671501,9.150350684434531e-05,0.00019184303615571668,1.1602380057955483e-10,3.408851924247217e-06,1.3587537428978468e-06,0.0013318559665926875,1653480.0204564438,141.19043804550515,0.14404187912790029
3-synodic,45580.0,8.5,1.0,128,100000.0,10000.0,ionization,0.9,crossed,0.30269281054798214,10460.99483798262,4396429.794181083,3.3036793909628797,50797949.51604098,1041078.64951939,0.0010794748989330083,0.9008297671091666,22504410.07970871,7.208877264895352,0.00023686212486673046,0.00024029590882984506,3.4279561195613832e-09,2.7623163094260542e-05,2.96717724412951e-06,0.0019358782552146546,70098.88704776991,80.98468310420783,0.1241275933455849
3-synodic,45580.0,8.5,1.0,128,100000.0,10000.0,molecular_bonds,0.1,crossed,0.04355709523095656,4809.496408942674,269435.95602180145,22.958372102125114,45770127.18989092,201.28298831304286,0.09994950737074992,0.9999808263469459,40398109.24899232,13.756734752736063,0.0008916478736508015,0.00045855782509120213,0.13416460661219948,0.5543510007711141,3.735441138899958e-05,0.000704475742998736,0.003417874778380678,12.275868044496661,0.6509206734915568
3-synodic,45580.0,8.5,1.0,128,100000.0,10000.0,molecular_bonds,0.5,crossed,5.053831244566902e-05,2604.5213381069557,120.24132324456883,19786.968571122066,25426453.549971435,0.0023540168925611274,0.4999993784478475,0.9999999997757629,65527567.03222714,130.91661113016343,0.012607635511393538,0.004363887037672114,46108232069567.055,25787700.505416553,23.352466400378056,108.87073237766458,9.464442338817026e-17,0.00018687049850980478,4.008319722268525e-05
3-synodic,45580.0,8.5,1.0,128,100000.0,10000.0,molecular_bonds,0.9,not_reached,,,,,,,,,,,,,,,,,,,
3-synodic,45580.0,8.5,1.0,512,100000.0,10000.0,ionization,0.1,crossed,0.9109713835317454,15573.367722246017,20468068.19105422,1.097729322871921,50853162.64686246,9447831.953128891,-6.268328069714002e-06,0.1000260205722342,2128778.8865034133,4.993059659288751,1.5280364306070384e-05,0.0001664353219762917,2.7540955981344433e-11,1.3631101770361404e-06,7.851355073271791e-07,0.0007786144527605746,6043193.347719335,211.98292577912326,0.21375832594192914
