case,closing_speed_m_s,k,initial_density_kg_m3,steps,expansion_ratio_end,prescribed_expansion_speed_m_s,store,target_returned_fraction,status,density_kg_m3,temperature_k,pressure_pa,volume_ratio,bond_energy_j_kg,ion_energy_j_kg,bond_returned_fraction,ion_returned_fraction,internal_work_j_kg,hemisphere_radius_m,hemisphere_time_s,hemisphere_expansion_time_s,tau_ion_three_body_s,tau_ion_radiative_s,tau_bond_h_proxy_s,tau_bond_equilibrium_oh_s,da_ion_three_body,da_bond_h_proxy,da_bond_equilibrium_oh
3-synodic,45580.0,8.5,0.1,256,100000.0,10000.0,ionization,0.1,crossed,0.08875297238045048,13588.915785338293,1768451.1148695762,1.1267228276179615,50927960.10217126,12940147.659751251,-3.8595696321142015e-06,0.10011003368171234,2418018.6272866577,10.851106631116187,4.230911611189523e-05,0.00036170355437053955,8.375652596960617e-10,9.222472720074576e-06,6.496567758934977e-05,0.43357030627462423,431851.1903201378,5.567609971789718,0.0008342442947221479
3-synodic,45580.0,8.5,0.1,256,100000.0,10000.0,ionization,0.5,crossed,0.051927121525655526,11987.803665716256,890083.4900442474,1.9257759155895675,50928050.30913544,7187497.230377727,-5.6308424685180825e-06,0.5001636139999246,12348201.819948345,12.973891165532276,0.00025458756955350415,0.00043246303885107585,4.51142953316484e-09,2.5832290689764942e-05,0.0001396057809344611,0.9752473707798216,95859.42452872497,3.0977444913552588,0.00044343932812171774
3-synodic,45580.0,8.5,0.1,256,100000.0,10000.0,ionization,0.9,crossed,0.023724625446628587,9380.365974864895,310078.3948148558,4.215029662953461,50921493.86223888,1437839.6374207728,0.00012310928748116012,0.9000090650499926,24210320.078893557,16.84490419183709,0.0006416888721839857,0.0005614968063945697,1.7910048359874005e-07,0.00023514403566147498,0.0003877518419674063,1.8853428116194888,3135.09374800214,1.4480828860685802,0.0002978221270604098
3-synodic,45580.0,8.5,0.1,256,100000.0,10000.0,molecular_bonds,0.1,crossed,0.0021664258989426894,3783.174547945403,10556.263484753446,46.15897550375685,45835556.49140381,8.8008858950157,0.09998882136707532,0.9999993879645642,42498959.91962806,37.40707242219211,0.0026979056952194875,0.0012469024140730704,9632.255130276899,212.90932452647266,0.009256266125167018,0.19652811047256022,1.2945072542292863e-07,0.1347090065488552,0.006344651719669214
3-synodic,45580.0,8.5,0.1,256,100000.0,10000.0,molecular_bonds,0.5,not_reached,,,,,,,,,,,,,,,,,,,
3-synodic,45580.0,8.5,0.1,256,100000.0,10000.0,molecular_bonds,0.9,not_reached,,,,,,,,,,,,,,,,,,,
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,ionization,0.1,crossed,0.9109793644606821,15573.285910158214,20468110.28217791,1.0977197058596602,50853160.231873184,9447508.790596336,-6.22083831114395e-06,0.10005680412891349,2129329.369293645,4.993045078142261,1.527890619142136e-05,0.00016643483593807538,2.754170645794046e-11,1.363139490452638e-06,7.851111060540738e-07,0.0007785703106724396,6043011.031006436,211.9888951444948,0.21376982098678807
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,ionization,0.5,crossed,0.5947017702646529,13653.375795863518,11497980.574879497,1.6815150887393226,50849551.65836275,5246293.959188287,6.474025717095877e-05,0.5002527484482959,11040231.070037976,5.755750011213862,9.154939949858143e-05,0.00019185833370712873,1.1593288199094309e-10,3.4068931457750055e-06,1.3597934126900628e-06,0.0013337769264005165,1654908.6886507066,141.09373667841038,0.14384589349952218
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,ionization,0.9,crossed,0.30273261995827366,10468.445713716048,4400290.345459279,3.3032449563506976,50798414.59652876,1047167.1396145903,0.0010703292847991097,0.9002497946152793,22481716.862604246,7.208561261361606,0.0002368305245133558,0.00024028537537872018,3.398189388983539e-09,2.747361096041118e-05,2.970735116754043e-06,0.0019443652833279516,70709.82451940207,80.88414683072338,0.12358036704268383
3-synodic,45580.0,8.5,1.0,256,100000.0,10000.0,molecular_bonds,0.1,crossed,0.043396092651929,4807.684445754195,268332.2224935396,23.043549289582156,45768404.031089045,200.35082273117374,0.09998339257107003,0.9999809151424253,40403654.84054226,13.773726576675752,0.0008933470560447706,0.0004591242192225251,0.1361914909091655,0.5588384985411744,3.760643097624095e-05,0.0007090646322216502,0.0033711667018077023,12.208662383106532,0.6475068680043896
