event,status,name,time_s,wall_impulse_ns,bond_store_j,ion_store_j,bond_drop_from_sampled_parcel_peaks_j,ion_drop_from_sampled_parcel_peaks_j,bond_interval_store_decrease_j,ion_interval_store_decrease_j,bond_decrease_midpoint_x_m,ion_decrease_midpoint_x_m,water_bond_store_j,water_ion_store_j,water_sampled_peak_bond_store_j,expanding_gas_bond_store_j,expanding_gas_ion_store_j,expanding_bond_store_da_oh_lt0p1_j,expanding_bond_store_da_oh_gt10_j,expanding_ion_store_da_coll_lt0p1_j,expanding_ion_store_da_coll_gt10_j,hot_dense_mass_kg_Tge5000_rhoge10,dense_closure_mass_kg_Tgt1000_rhoge100,high_pressure_mass_kg_pgt1GPa,max_water_density_kg_m3,max_water_temperature_k,window_impulse_fraction,previous_sample_time_s,run
peak_total_bond_store,sampled,combined_h1_n40,0.00015350000000000002,1558795.2403844441,5635540625.380545,7474878806.155985,208801732.81009713,2160375973.3234353,33579896.79347131,17242157.897199333,0.010669148507209748,0.6160870234622764,4362019867.152464,41028264.51082711,4570821563.979479,5534452426.750608,7435300105.428089,1273520758.2280798,4260931668.522528,0.0,7435300105.428089,211.875,210.0,210.625,334.28164259550783,26085.45715206112,0.5937384176652013,0.000153,flow_h1_n40_cfl01_dense301_1ms
peak_total_ion_store,sampled,combined_h1_n40,0.0001025,9.423802989784084,2465428851.24499,9557632951.438967,2197646.9542858796,48166135.19867115,7471.8544391024625,7900097.227520027,0.3013116088096477,0.8712628596751223,1191910341.1565187,49075915.565303646,1194107987.984758,1675105141.216377,7649106389.441938,986979500.7241381,688125640.4922388,0.0,7649106357.576474,140.0,0.0,0.0,78.51294968404835,30841.39852267129,3.5894861176013333e-06,0.000102,flow_h1_n40_cfl01_dense301_1ms
window_end,sampled,combined_h1_n40,0.001,2625390.565956979,3128080379.0746493,4169052889.6524534,2717423831.450684,5470890121.011768,59094396.113684066,136182355.69930595,2.9245357070152336,19.76422755453918,1854559900.9972298,10632972.796942374,4571982783.894792,3122913537.634683,4169052889.5700865,1305353489.89684,1817560047.737842,85.5306491394204,4169052804.0394373,0.0,0.0,0.0,1.071450496534503,13783.092955693455,1.0,0.000863988449483968,flow_h1_n40_cfl01_dense301_1ms
impulse_0.1_of_window,sampled,combined_h1_n40,0.000145,322483.9036847551,3531771493.1890616,7786187339.139312,30187994.531639427,1847786641.8396857,2152987.207347595,19070433.448432073,0.03378258051079531,0.5815879321519732,2258250791.5098314,43827980.34529945,2288438758.7711387,3239764975.636599,7786113816.088534,1305336499.5886292,1934428476.04797,51.99020315055914,7786113352.263136,190.625,46.875,46.25,455.7080701392598,27456.50987554732,0.12283273500954581,0.00014450000000000002,flow_h1_n40_cfl01_dense301_1ms
impulse_0.5_of_window,sampled,combined_h1_n40,0.00015150000000000002,1342321.1935209404,5357698805.548335,7545125934.806107,124983356.10430269,2089827516.1322112,22427347.833690066,18186493.81652609,0.0068233044740315905,0.5983867023990541,4084178059.438922,41366860.71296509,4209161381.9377117,5214805690.290873,7545093696.660286,1305337669.7151117,3909468020.5757604,21.871689834653964,7545093643.256887,189.375,185.0,185.0,384.9304312935764,26243.587152178556,0.5112843821893037,0.000151,flow_h1_n40_cfl01_dense301_1ms
impulse_0.9_of_window,sampled,combined_h1_n40,0.0001925,2363948.3778011114,4290655390.022772,6932351351.250019,1554841366.9379308,2707591659.4142046,5645229.470642426,10303355.680534286,0.11615528918649716,0.986723730466793,3017134473.1696887,46624387.54221879,4571975773.656417,4086642110.497822,6213302210.828974,1177994722.7682152,2908647387.729605,9.225721294336369,6213296239.992158,207.5,0.0,0.0,26.438998809720445,26192.15211369492,0.9004177924816419,0.000192,flow_h1_n40_cfl01_dense301_1ms
bond_parcel_peak_drop_0.1,sampled,combined_h1_n40,0.0001575,1862383.4896757663,5242613368.901774,7464408332.207227,602881364.3223665,2175534678.4569955,42398686.56128334,13052648.940687906,0.016939961696918106,0.7535904890916693,3969092586.638456,58005791.41522269,4571973910.843245,4929304686.841699,6127512463.021997,1114330540.8805141,3814974145.961184,0.0,6127510872.858356,211.25,158.125,112.5,260.49539174663295,30874.33718160571,0.7093738790048978,0.00015700000000000002,flow_h1_n40_cfl01_dense301_1ms
bond_parcel_peak_drop_0.5,not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,flow_h1_n40_cfl01_dense301_1ms
ion_parcel_peak_drop_0.1,sampled,combined_h1_n40,0.000125,11.492442670468355,2715909591.244934,8653437934.66278,2430327.949699959,978891977.2961612,10323.40479090286,22850300.461919565,0.1504787023665323,0.6701779679762256,1442389152.945608,49058942.955776975,1444819473.5252008,2191437928.006979,8653437586.298979,1273520438.2993257,886104571.2503351,0.0,8653437545.034985,173.125,0.0,0.0,78.45383808513755,30832.63420635106,4.377422094635757e-06,0.00012450000000000002,flow_h1_n40_cfl01_dense301_1ms
ion_parcel_peak_drop_0.5,sampled,combined_h1_n40,0.0005572264795507174,2573003.8704865184,3382726648.545729,4750341488.425908,2462776309.1356325,4889601522.238316,72258653.82139176,160777204.21006036,1.3696372688475136,8.623447978426801,2109205768.3745737,18052387.234617613,4571981615.981015,3333751659.0276895,4645991934.562089,1273514699.7988312,2060236959.2288578,168.4881124267476,4645991540.277107,0.0,0.0,0.0,1.912740471884089,16216.710705588492,0.9800461325070066,0.0004814372420784344,flow_h1_n40_cfl01_dense301_1ms
