abs_matching_energy_offsets_j,branch,initial_bond_store_j,initial_compressing_mass_kg,initial_ion_store_j,initial_wall_impulse_ns,max_energy_error_j,max_matching_pressure_correction_fraction,max_source_energy_error_fraction,max_source_pressure_error_fraction,max_start_pressure_jump_fraction,max_start_temperature_jump_fraction,momentum_error_ns,name,record,restart_physical_energy_j,start_time_s,status,steps,time_s,wall_impulse_ns,run
0.0,equilibrium,5635540625.380545,2.5,7474878806.155985,1558795.240384444,5366.437503874982,0.0,0.0,0.0,8.537615059367454e-14,8.881784197001252e-15,-8.381903171539307e-09,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,9627,0.0005,2562917.992368365,freeze_05ms
27854010.02037514,parcel_frozen,5635540625.380545,2.5,7474878806.155985,1558795.240384444,8094.208871763186,0.004264610522454748,2.0683099677398786e-10,2.976970865375961e-07,1.393440918207034e-11,1.3922862862614238e-11,-4.6566128730773926e-09,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,9343,0.0005,2436551.1626429684,freeze_05ms
0.0,equilibrium,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,849.8085586780918,0.0,0.0,0.0,7.815970093361102e-14,7.105427357601002e-15,1.5133991837501526e-08,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,2392,0.0005,2562917.992367636,freeze_05ms
29462233.023646336,parcel_frozen,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,2962.548894093974,0.002536029106178006,2.3732393827913256e-10,1.2336784405153622e-07,1.816413686128726e-11,1.8167023441151287e-11,-7.2177499532699585e-09,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,2354,0.0005,2540464.5175464465,freeze_05ms
0.0,equilibrium,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,13291.566614963465,0.0,0.0,0.0,7.105427357601002e-15,3.6637359812630166e-15,5.122274160385132e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,374,0.0005,1883057.2516488782,freeze_05ms
26318442.447543256,parcel_frozen,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,9800.534515962154,0.002239529106610294,1.0732525979051388e-11,3.3166883239843514e-08,1.7853496458997142e-12,1.7853496458997142e-12,3.725290298461914e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,365,0.0005,1842789.8211010299,freeze_05ms
0.0,equilibrium,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,8189.988034835491,0.0,0.0,0.0,3.552713678800501e-15,1.7763568394002505e-15,1.979060471057892e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,247,0.0005,1883057.1589374563,freeze_05ms
29075235.69114225,parcel_frozen,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,6429.732462190533,0.0018876705308059627,2.1997514920713002e-11,3.7033851763013104e-08,2.5202062658991053e-12,2.5202062658991053e-12,4.307366907596588e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,255,0.0005,1861282.2974466383,freeze_05ms
0.0,equilibrium,5627720266.514626,3.125,7411763078.099128,1560427.7722765675,31142.56389406036,0.0,0.0,0.0,3.126388037344441e-13,2.6645352591003757e-14,-7.2177499532699585e-09,combined_h1_n80_freeze_153.5us,summary,25611241326.34665,0.00015350000000000002,completed_time_window,19239,0.0005,2572275.4019558756,freeze_n80_05ms
29200583.823510647,parcel_frozen,5627720266.514626,3.125,7411763078.099128,1560427.7722765675,17331.389641478847,0.004592549903821963,2.35241937041053e-10,3.0038989939917826e-07,2.956079825366942e-12,2.9559688030644793e-12,1.280568540096283e-08,combined_h1_n80_freeze_153.5us,summary,25611241326.34665,0.00015350000000000002,completed_time_window,18684,0.0005,2445046.81654687,freeze_n80_05ms
0.0,equilibrium,4257924160.9891887,5.9375,6863731220.174699,2377754.7184223444,2727.5695343473126,0.0,0.0,0.0,1.4932499681208355e-13,1.2434497875801753e-14,-6.752088665962219e-09,combined_h1_n80_freeze_193us,summary,25611269721.882122,0.00019300000000000003,completed_time_window,4627,0.0005,2572275.4019666514,freeze_n80_05ms
30981043.82049574,parcel_frozen,4257924160.9891887,5.9375,6863731220.174699,2377754.7184223444,340.3416924650192,0.003167728536886738,2.886295646931103e-10,1.0058219956921022e-07,1.7145396213891217e-11,1.7148282793755243e-11,-3.958120942115784e-09,combined_h1_n80_freeze_193us,summary,25611269721.882122,0.00019300000000000003,completed_time_window,4549,0.0005,2550203.016106591,freeze_n80_05ms
0.0,equilibrium,1273521962.0037766,0.0,9055412403.593388,1715037.99044795,3866.562155854379,0.0,0.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,-4.423782229423523e-09,unsprayed_h1_n80_freeze_153.5us,summary,26064582433.624844,0.00015350000000000002,completed_time_window,633,0.0005,1880416.9552435768,freeze_n80_05ms
