parent,case,stride,window_start_s,window_end_s,positive_interval_bond_decrease_j,kinetics_validated,weighted_cell_intervals,status,above_reference_thermo_3500k_weight_j,above_reference_thermo_3500k_fraction,pressure_above_100mpa_weight_j,pressure_above_100mpa_fraction,pressure_above_1gpa_weight_j,pressure_above_1gpa_fraction,nonideal_pressure_gt10pct_weight_j,nonideal_pressure_gt10pct_fraction,ionized_nuclei_gt1pct_weight_j,ionized_nuclei_gt1pct_fraction,resolved_expansion_clock_weight_j,resolved_expansion_clock_fraction,network_da_gt10_weight_j,network_da_gt10_fraction,network_da_lt0p1_weight_j,network_da_lt0p1_fraction,network_da_gt10000_weight_j,network_da_gt10000_fraction,old_proxy_da_gt10_weight_j,old_proxy_da_gt10_fraction,tracking_da_gt10_weight_j,tracking_da_gt10_fraction,tracking_da_lt0p1_weight_j,tracking_da_lt0p1_fraction,tracking_da_gt10000_weight_j,tracking_da_gt10000_fraction,cold_unmodelled_weight_j,cold_unmodelled_fraction,tiny_interval_change_weight_j,tiny_interval_change_fraction,unresolved_network_weight_j,unresolved_network_fraction,no_expansion_clock_weight_j,no_expansion_clock_fraction,temperature_k_p10,temperature_k_p50,temperature_k_p90,pressure_pa_p10,pressure_pa_p50,pressure_pa_p90,rho_kg_m3_p10,rho_kg_m3_p50,rho_kg_m3_p90,x_m_p10,x_m_p50,x_m_p90,da_energy_p10,da_energy_p50,da_energy_p90,da_old_oh_proxy_p10,da_old_oh_proxy_p50,da_old_oh_proxy_p90,old_proxy_time_over_network_time_p10,old_proxy_time_over_network_time_p50,old_proxy_time_over_network_time_p90,water_collider_efficiency_p10,water_collider_efficiency_p50,water_collider_efficiency_p90,da_store_change_p10,da_store_change_p50,da_store_change_p90,da_tracking_p10,da_tracking_p50,da_tracking_p90
freeze_parent_h1_n40,combined_h1_n40,1,0.0001,0.0001535,252793423.89854014,False,24357,conditional_rate_screen,252793423.89854014,1.0,252086084.30174753,0.9972019066560984,209097942.04629683,0.8271494519976884,208777707.52935982,0.8258826685822087,43.272801344282925,1.7117850882723386e-07,250055830.18467477,0.9891706292369215,250055830.18467477,0.9891706292369215,0,0.0,250055793.0998291,0.9891704825367222,250055793.0998291,0.9891704825367222,250055830.18467477,0.9891706292369215,0,0.0,250055793.0998291,0.9891704825367222,0,0.0,0.48563919321168214,1.9210910858448428e-09,0,0.0,2737593.2282261783,0.010829368841987458,5147.258908801296,8989.246328087478,9446.905360148676,181299838.96081868,2438333280.751167,3349218742.5989237,59.16045802763854,272.71562063919225,333.286696235653,0.0015879223668093434,0.007691052838117544,0.05101746579274221,252378.59794267587,3246781.725314678,12066861.011717524,85280.40401748205,610400.4388020927,2216497.671528369,2.8162908451501516,5.318915163267452,5.594885465914328,1.279812333290654,1.3056817016991795,2.2711506826225696,1461419.2447998682,18858482.578128938,42695923.87047396,252378.59794267587,3246781.725314678,12066861.011717524
freeze_parent_h1_n40,combined_h1_n40,1,0.0001535,0.000193,1377866104.6043854,False,27446,conditional_rate_screen,1377866104.6043854,1.0,1223165643.873192,0.8877246053050916,272604915.32381374,0.1978457227540875,179161026.3220494,0.1300278929304893,347.98411476425827,2.525529248461859e-07,1376492202.5405557,0.9990028769419332,1376492202.5405557,0.9990028769419332,0,0.0,1376086036.2500255,0.998708097725598,1376492171.735851,0.9990028545851131,1376492202.5405557,0.9990028769419332,0,0.0,1376086036.2500255,0.998708097725598,0,0.0,0.6472009560093284,4.697125169467417e-10,0,0.0,1373901.4166285098,0.0009971225883541029,5649.100798454066,6753.980305735043,8241.641341557819,95826937.40345532,364776533.7180545,1384472961.7603252,23.29555803631618,69.94644714687135,189.17109767839676,0.00514757135694994,0.02162089261853102,0.0855517701048111,51846.898039168875,154262.60997003003,843053.1635070791,12978.88476478781,36451.41834479466,174039.79508597378,3.837404970903375,4.2473088653992335,4.971307457305056,1.3423911498810792,1.474675122158044,1.6396065279308392,351229.2781252553,1051181.1734993074,5430890.1023759935,51846.898039168875,154262.60997003003,842055.472574942
freeze_parent_h1_n40,combined_h1_n40,1,0.000193,0.00025,371097577.960646,False,40063,conditional_rate_screen,371097577.960646,1.0,0,0.0,0,0.0,0,0.0,40.39278048090637,1.0884679092459591e-07,371019795.8529142,0.9997903998507368,371019795.8529142,0.9997903998507368,0,0.0,371019756.1778384,0.9997902929379511,371019756.1778384,0.9997902929379511,371019795.8529142,0.9997903998507368,0,0.0,371019756.1778384,0.9997902929379511,0,0.0,0.6460120994597673,1.7408146477535765e-09,0,0.0,77781.46171963424,0.00020959840844847225,4861.496268359698,5114.015415141026,5385.610052413574,26324037.865739956,40274761.093859114,61277437.10382124,7.891029445158312,11.398801654598612,16.3965050485553,0.035738035808768324,0.19461986666152364,0.42790766700173966,21069.857512723447,32879.971468801836,52475.86721827101,5608.749428203973,8822.191252619541,13878.037096738533,3.6258011262752876,3.708216481444908,3.835091370960675,1.6561642539396588,1.738290771408899,1.8164508024247004,134001.46326501304,226633.5953011198,344063.60581275204,21069.857512723447,32879.971468801836,52475.86721827101
freeze_parent_h1_n40,combined_h1_n40,1,0.0001,0.00025,2001757106.4635713,False,91866,conditional_rate_screen,2001757106.4635713,1.0,1475251728.1749394,0.7369783893417573,481702857.3701106,0.24064001362338952,387938733.8514092,0.19379910409648346,431.64969658944756,2.1563540111618575e-07,1997567828.5781448,0.9979071996937593,1997567828.5781448,0.9979071996937593,0,0.0,1997161585.527693,0.997704256464963,1997567721.0135186,0.9979071459586553,1997567828.5781448,0.9979071996937593,0,0.0,1997161585.527693,0.997704256464963,0,0.0,1.7788522486807778,8.88645402050506e-10,0,0.0,4189276.106574322,0.0020927994175953535,5101.675499069928,6541.372044875039,8739.400637511355,41957387.21968525,284346864.0642548,2018254939.787983,11.69324393788539,59.46099618618019,244.33896046304272,0.004547926650431829,0.023977663573593495,0.19631205605642538,31560.295475953197,132940.91248248008,2376458.0346049303,8196.67989785497,31908.456641786153,460059.19549430604,3.6847934718736224,4.163298831468025,5.249541245885211,1.3096765169271483,1.499423473556896,1.7558671865009867,214039.89707094248,935646.378856606,15531624.024256257,31560.295475953197,132940.91248248008,2373884.826739504
freeze_parent_h1_n40,unsprayed_h1_n40,1,0.0001,0.0001535,10.90269764419645,False,1017,negligible_molecular_return,10.90269764419645,1.0,9.005889296531677e-06,8.260239429207273e-07,0,0.0,0,0.0,10.90269764419645,1.0,10.641674529761076,0.976058850483273,10.641674529761076,0.976058850483273,0,0.0,0,0.0,0,0.0,10.641674529761076,0.976058850483273,0,0.0,0,0.0,0,0.0,0.26102311443537474,0.023941149516727024,0,0.0,0,0.0,22844.609325224857,23266.978235813902,23733.189256699243,5490172.259333334,5784755.744398845,6865793.033783758,0.11124153672753334,0.11577330508051932,0.1320075099022935,1.0435813366373317,1.1070808391991944,1.1286876920690014,690.5884610598871,703.033219662905,717.391035358022,5.576669656910828e-07,5.580064440921336e-07,5.649184631685727e-07,1222456878.4430299,1273093852.526657,1285632169.5804143,0.999996711461439,0.9999968136295714,0.9999968400842685,317374793.3016634,494228576.8236619,937099403.2513394,690.5884610598871,703.033219662905,717.391035358022
freeze_parent_h1_n40,unsprayed_h1_n40,1,0.0001535,0.000193,1.9989689579233527,False,1559,negligible_molecular_return,1.9989689579233527,1.0,0,0.0,0,0.0,0,0.0,1.9989689579233527,1.0,1.6233178973197937,0.8120775917431917,1.6233178973197937,0.8120775917431917,0,0.0,0,0.0,0,0.0,1.6233178973197937,0.8120775917431917,0,0.0,0,0.0,0,0.0,0.375651060603559,0.18792240825680834,0,0.0,0,0.0,26799.896354782155,28412.466500282848,54907.169341663364,1726983.1380809522,2184776.091096904,33497841.202398784,0.024182963940239496,0.02858609953870526,0.19625692253223959,1.1907562928028583,4.222695261041211,5.246992731366887,174.78383590199445,230.98748866988274,282.16286442383006,4.939943831489816e-11,9.537500274085641e-11,1.5129132344834929e-10,1865030049262.2778,2421887098630.0176,3538174559553.285,0.9999999143926044,0.99999992303549,0.9999999337244313,1527093427.0535498,1683025746.587052,1887895871.808057,174.78383590199445,230.98748866988274,282.16286442383006
freeze_parent_h1_n40,unsprayed_h1_n40,1,0.000193,0.00025,2.7996129356324673,False,957,negligible_molecular_return,2.7996129356324673,1.0,0,0.0,0,0.0,0,0.0,2.7996129356324673,1.0,2.627737638540566,0.9386074785895099,2.627737638540566,0.9386074785895099,0,0.0,0,0.0,0,0.0,2.627737638540566,0.9386074785895099,0,0.0,0,0.0,0,0.0,0.1718752970919013,0.061392521410490106,0,0.0,0,0.0,23998.76249978573,25121.844363277884,26344.284201037808,1068620.8861527129,1332490.9018981108,1608771.772050098,0.017087933315334283,0.020116786153131214,0.022903655362406447,5.7284185669169165,6.766809138636512,8.454742441966307,313.3028766895737,378.6307717988817,445.96752277434547,1.9347401337239148e-10,3.107877460797876e-10,4.4206031712257e-10,1008838625636.447,1218293760210.4717,1619353789320.2231,0.9999998893960063,0.9999998973703392,0.9999999091913806,1149823515.281419,1541526721.7104578,2088762564.992857,313.3028766895737,378.6307717988817,445.96752277434547
freeze_parent_h1_n40,unsprayed_h1_n40,1,0.0001,0.00025,15.70127953775227,False,3533,negligible_molecular_return,15.70127953775227,1.0,9.005889296531677e-06,5.735767760122894e-07,0,0.0,0,0.0,15.70127953775227,1.0,14.892730065621436,0.9485042304872827,14.892730065621436,0.9485042304872827,0,0.0,0,0.0,0,0.0,14.892730065621436,0.9485042304872827,0,0.0,0,0.0,0,0.0,0.8085494721308351,0.05149576951271728,0,0.0,0,0.0,22844.609325224857,23493.58982626051,29511.236952814532,1362727.1307060104,5784755.744398845,6865793.033783758,0.02043753537419596,0.11577330508051932,0.1320075099022935,1.0435813366373317,1.1286876920690014,6.621179881354115,243.94151228553167,696.5561261920474,717.391035358022,1.0881891610648134e-10,5.580064440921336e-07,5.613830081812537e-07,1240785909.1580312,1285632169.5804143,2241719739671.2744,0.9999967486921831,0.9999968400842685,0.9999999205420411,317374793.3016634,548361761.9088587,1935669429.5386977,243.94151228553167,696.5561261920474,717.391035358022
freeze_parent_h1_n40,combined_h1_n40,2,0.0001,0.0001535,243274971.8304739,False,12411,conditional_rate_screen,243274971.8304739,1.0,242564878.1160512,0.9970811065804273,200397808.8249451,0.8237502087333186,200078632.40350166,0.8224382101374834,37.348635448142886,1.5352436449635793e-07,241933027.63512346,0.9944838378348038,241933027.63512346,0.9944838378348038,0,0.0,241932990.40107495,0.9944836847814574,241932990.40107495,0.9944836847814574,241933027.63512346,0.9944838378348038,0,0.0,241932990.40107495,0.9944836847814574,0,0.0,0.11458692140877247,4.71018126306155e-10,0,0.0,1341944.080763529,0.005516161694178152,5139.283014914831,8926.264625577223,9435.323271001313,178664653.94991443,2391832455.855223,3310516782.8937273,58.60940316620017,270.1855911475994,331.0927528232174,0.0016120277058087776,0.007622956962549123,0.05164648971877805,263103.3217916653,3124754.6255176123,10860779.772883771,88001.86152916512,594778.2026728044,2052922.0272349133,2.8154187537451265,5.2851858484599505,5.57563692916259,1.2815297129821273,1.3083248617471257,2.2729375565663106,1428016.873479857,17621096.458864976,41715655.67128615,263103.3217916653,3124754.6255176123,10860779.772883771
freeze_parent_h1_n40,combined_h1_n40,2,0.0001535,0.000193,1376478357.175681,False,13727,conditional_rate_screen,1376478357.175681,1.0,1217844834.7312434,0.8847540743249106,238531371.61937824,0.17329104404431567,149453944.0321208,0.10857703882738627,326.0486228670925,2.368715942153231e-07,1372805086.2445202,0.9973313994281044,1372805086.2445202,0.9973313994281044,0,0.0,1372153843.5240338,0.9968582770451105,1372805037.6409695,0.9973313641180318,1372805086.2445202,0.9973313994281044,0,0.0,1372153843.5240338,0.9968582770451105,0,0.0,0.17508848570287228,1.272003186901729e-10,0,0.0,3673270.7560724323,0.0026686004446952664,5641.886575757269,6706.8484444645555,8155.972588113856,94983633.71717513,343930183.3192185,1292480363.4287188,23.091761118396988,67.20978271165446,180.54964656170617,0.0052689155557087705,0.022473235827956774,0.08654872398651875,51410.37439510742,148003.52850099202,750315.287433345,12832.108231734646,35259.22485125223,158584.532911536,3.834536291562205,4.230001134617945,4.919614779108335,1.3471885303069675,1.4799858722510872,1.6411410017617518,333593.14931346144,997218.498606024,5199825.077605896,51410.37439510742,148003.52850099202,748251.7313181236
