case,closing_speed_m_s,k,projectile_kg,water_kg,incoming_momentum_ns,incoming_ke_j,merge_speed_m_s,merge_bulk_j,merge_heat_j,gasification_j_kg,gasification_j,gasification_fraction_ke,bond_energy_j_kg,full_dissociation_store_j,full_dissociation_fraction_ke,ceiling_beta,ceiling_impulse_ns,water_only_ceiling_isp_s
3-synodic,45580.0,0.0,25.0,0.0,1139500.0,25969205000.0,45580.0,25969205000.0,0.0,2600000.0,0.0,0.0,50940882.61543921,1273522065.3859801,0.04903970165378494,2.0,2279000.0,
3-synodic,45580.0,5.0,25.0,125.0,1139500.0,25969205000.0,7596.666666666667,4328200833.333333,21641004166.666668,2600000.0,325000000.0,0.0125148228449812,50940882.61543921,7641132392.315881,0.29423820992270966,3.449489742783178,3930693.561901431,3206.553562655081
3-synodic,45580.0,6.0,25.0,150.0,1139500.0,25969205000.0,6511.428571428572,3709886428.571429,22259318571.42857,2600000.0,390000000.0,0.01501778741397744,50940882.61543921,8914654457.70186,0.34327791157649457,3.6457513110645907,4154333.618958101,2824.160896913898
3-synodic,45580.0,7.0,25.0,175.0,1139500.0,25969205000.0,5697.5,3246150625.0,22723054375.0,2600000.0,455000000.0,0.01752075198297368,50940882.61543921,10188176523.087841,0.3923176132302795,3.8284271247461903,4362492.708648284,2542.00259657523
3-synodic,45580.0,8.0,25.0,200.0,1139500.0,25969205000.0,5064.444444444444,2885467222.2222223,23083737777.77778,2600000.0,520000000.0,0.020023716551969918,50940882.61543921,11461698588.473822,0.4413573148840645,4.0,4558000.0,2323.9332493766988
3-synodic,45580.0,8.5,25.0,212.5,1139500.0,25969205000.0,4797.894736842105,2733600526.3157897,23235604473.68421,2600000.0,552500000.0,0.02127519883646804,50940882.61543921,12098459621.166811,0.46587716571095694,4.082207001484488,4651674.878191574,2232.1827250795654
3-synodic,45580.0,9.0,25.0,225.0,1139500.0,25969205000.0,4558.0,2596920500.0,23372284500.0,2600000.0,585000000.0,0.02252668112096616,50940882.61543921,12735220653.859802,0.49039701653784945,4.16227766016838,4742915.393761869,2149.523432800699
3-synodic,45580.0,10.0,25.0,250.0,1139500.0,25969205000.0,4143.636363636364,2360836818.181818,23608368181.81818,2600000.0,650000000.0,0.0250296456899624,50940882.61543921,14008742719.24578,0.5394367181916343,4.3166247903554,4918793.948609978,2006.3095750781267
3-synodic,56530.0,0.0,25.0,0.0,1413250.0,39945511250.0,56530.0,39945511250.0,0.0,2600000.0,0.0,0.0,50940882.61543921,1273522065.3859801,0.03188148118609898,2.0,2826500.0,
3-synodic,56530.0,5.0,25.0,125.0,1413250.0,39945511250.0,9421.666666666666,6657585208.333333,33287926041.666668,2600000.0,325000000.0,0.008136083124984412,50940882.61543921,7641132392.315881,0.19128888711659386,3.449489742783178,4874991.3789883265,3976.8861978256195
3-synodic,56530.0,6.0,25.0,150.0,1413250.0,39945511250.0,8075.714285714285,5706501607.142858,34239009642.857143,2600000.0,390000000.0,0.009763299749981295,50940882.61543921,8914654457.70186,0.22317036830269285,3.6457513110645907,5152358.040362033,3502.628685882901
3-synodic,56530.0,7.0,25.0,175.0,1413250.0,39945511250.0,7066.25,4993188906.25,34952322343.75,2600000.0,455000000.0,0.011390516374978177,50940882.61543921,10188176523.087841,0.25505184948879184,3.8284271247461903,5410524.634047554,3152.6855371741503
3-synodic,56530.0,8.0,25.0,200.0,1413250.0,39945511250.0,6281.111111111111,4438390138.888889,35507121111.111115,2600000.0,520000000.0,0.01301773299997506,50940882.61543921,11461698588.473822,0.28693333067489085,4.0,5653000.0,2882.2278759821143
3-synodic,56530.0,8.5,25.0,212.5,1413250.0,39945511250.0,5950.526315789473,4204790657.894737,35740720592.10526,2600000.0,552500000.0,0.0138313413124735,50940882.61543921,12098459621.166811,0.3028740712679403,4.082207001484488,5769179.044847952,2768.4354859312825
3-synodic,56530.0,9.0,25.0,225.0,1413250.0,39945511250.0,5653.0,3994551125.0,35950960125.0,2600000.0,585000000.0,0.014644949624971943,50940882.61543921,12735220653.859802,0.3188148118609898,4.16227766016838,5882338.903232963,2665.918377714426
3-synodic,56530.0,10.0,25.0,250.0,1413250.0,39945511250.0,5139.090909090909,3631410113.6363635,36314101136.36364,2600000.0,650000000.0,0.016272166249968825,50940882.61543921,14008742719.24578,0.35069629304708877,4.3166247903554,6100469.984969769,2488.2992601835567
2-synodic,61830.0,0.0,25.0,0.0,1545750.0,47786861250.0,61830.0,47786861250.0,0.0,2600000.0,0.0,0.0,50940882.61543921,1273522065.3859801,0.026650046311337935,2.0,3091500.0,
2-synodic,61830.0,5.0,25.0,125.0,1545750.0,47786861250.0,10305.0,7964476875.0,39822384375.0,2600000.0,325000000.0,0.006801032574617986,50940882.61543921,7641132392.315881,0.1599002778680276,3.449489742783178,5332048.769907097,4349.741263250629
2-synodic,61830.0,6.0,25.0,150.0,1545750.0,47786861250.0,8832.857142857143,6826694464.285714,40960166785.71429,2600000.0,390000000.0,0.008161239089541583,50940882.61543921,8914654457.70186,0.1865503241793655,3.6457513110645907,5635420.089078091,3831.0194878496336
2-synodic,61830.0,7.0,25.0,175.0,1545750.0,47786861250.0,7728.75,5973357656.25,41813503593.75,2600000.0,455000000.0,0.009521445604465181,50940882.61543921,10188176523.087841,0.21320037049070348,3.8284271247461903,5917791.2280764235,3448.2672344503394
2-synodic,61830.0,8.0,25.0,200.0,1545750.0,47786861250.0,6870.0,5309651250.0,42477210000.0,2600000.0,520000000.0,0.010881652119388779,50940882.61543921,11461698588.473822,0.23985041680204142,4.0,6183000.0,3152.452672421265
2-synodic,61830.0,8.5,25.0,212.5,1545750.0,47786861250.0,6508.421052631579,5030195921.052631,42756665328.947365,2600000.0,552500000.0,0.011561755376850577,50940882.61543921,12098459621.166811,0.25317543995771036,4.082207001484488,6310071.472544647,3027.9916167544875
2-synodic,61830.0,9.0,25.0,225.0,1545750.0,47786861250.0,6183.0,4778686125.0,43008175125.0,2600000.0,585000000.0,0.012241858634312376,50940882.61543921,12735220653.859802,0.2665004631133794,4.16227766016838,6433840.693205274,2915.8629629238094
2-synodic,61830.0,10.0,25.0,250.0,1545750.0,47786861250.0,5620.909090909091,4344260113.636364,43442601136.36364,2600000.0,650000000.0,0.013602065149235973,50940882.61543921,14008742719.24578,0.29315050942471726,4.3166247903554,6672422.769691859,2721.591071239153
2-synodic,65130.0,0.0,25.0,0.0,1628250.0,53023961250.0,65130.0,53023961250.0,0.0,2600000.0,0.0,0.0,50940882.61543921,1273522065.3859801,0.02401785976308928,2.0,3256500.0,
2-synodic,65130.0,5.0,25.0,125.0,1628250.0,53023961250.0,10855.0,8837326875.0,44186634375.0,2600000.0,325000000.0,0.006129304418952667,50940882.61543921,7641132392.315881,0.14410715857853568,3.449489742783178,5616631.673686709,4581.896303986955
2-synodic,65130.0,6.0,25.0,150.0,1628250.0,53023961250.0,9304.285714285714,7574851607.142858,45449109642.85714,2600000.0,390000000.0,0.007355165302743201,50940882.61543921,8914654457.70186,0.16812501834162494,3.6457513110645907,5936194.57224092,4035.489232470429
2-synodic,65130.0,7.0,25.0,175.0,1628250.0,53023961250.0,8141.25,6627995156.25,46395966093.75,2600000.0,455000000.0,0.008581026186533735,50940882.61543921,10188176523.087841,0.19214287810471423,3.8284271247461903,6233636.465867984,3632.3086686034385
2-synodic,65130.0,8.0,25.0,200.0,1628250.0,53023961250.0,7236.666666666667,5891551250.0,47132410000.0,2600000.0,520000000.0,0.009806887070324267,50940882.61543921,11461698588.473822,0.21616073786780352,4.0,6513000.0,3320.7058475626236
2-synodic,65130.0,8.5,25.0,212.5,1628250.0,53023961250.0,6855.789473684211,5581469605.263158,47442491644.73684,2600000.0,552500000.0,0.010419817512219534,50940882.61543921,12098459621.166811,0.22816966774934816,4.082207001484488,6646853.550167117,3189.6020378330873
2-synodic,65130.0,9.0,25.0,225.0,1628250.0,53023961250.0,6513.0,5302396125.0,47721565125.0,2600000.0,585000000.0,0.011032747954114802,50940882.61543921,12735220653.859802,0.2401785976308928,4.16227766016838,6777228.600169165,3071.4888367334256
2-synodic,65130.0,10.0,25.0,250.0,1628250.0,53023961250.0,5920.909090909091,4820360113.636364,48203601136.36364,2600000.0,650000000.0,0.012258608837905334,50940882.61543921,14008742719.24578,0.26419645739398206,4.3166247903554,7028544.314896179,2866.8482366133917
