radial_mode,timing_mode,source_radius_m,radial_power,pre_fraction,pre_start_s,pre_end_s,during_start_s,during_end_s,water_kg,axial_injection_speed_m_s,peak_total_mass_rate_kg_s,peak_area_mean_stream_density_kg_m3,direct_radial_overlap_fraction,injection_kinetic_energy_j,injection_momentum_scale_ns
footprint-uniform,pre,3.75,0,1.0,-0.002,-0.001,0,0.0001,212.5,10.0,212500.0,481.0016057888393,1.0,10625.0,2125.0
footprint-uniform,pre,3.75,0,1.0,-0.002,-0.001,0,0.0001,212.5,100.0,212500.0,48.10016057888392,1.0,1062500.0,21250.0
footprint-uniform,during,3.75,0,0.0,-0.002,-0.001,0,0.0001,212.5,10.0,2125000.0,4810.016057888393,1.0,10625.0,2125.0
footprint-uniform,during,3.75,0,0.0,-0.002,-0.001,0,0.0001,212.5,100.0,2125000.0,481.00160578883924,1.0,1062500.0,21250.0
footprint-uniform,split,3.75,0,0.5,-0.002,-0.001,0,0.0001,212.5,10.0,1062500.0,2405.0080289441967,1.0,10625.0,2125.0
footprint-uniform,split,3.75,0,0.5,-0.002,-0.001,0,0.0001,212.5,100.0,1062500.0,240.50080289441962,1.0,1062500.0,21250.0
plate-uniform,pre,5.0,0,1.0,-0.002,-0.001,0,0.0001,212.5,10.0,212500.0,270.56340325622205,0.5625,10625.0,2125.0
plate-uniform,pre,5.0,0,1.0,-0.002,-0.001,0,0.0001,212.5,100.0,212500.0,27.05634032562221,0.5625,1062500.0,21250.0
plate-uniform,during,5.0,0,0.0,-0.002,-0.001,0,0.0001,212.5,10.0,2125000.0,2705.6340325622205,0.5625,10625.0,2125.0
plate-uniform,during,5.0,0,0.0,-0.002,-0.001,0,0.0001,212.5,100.0,2125000.0,270.5634032562221,0.5625,1062500.0,21250.0
plate-uniform,split,5.0,0,0.5,-0.002,-0.001,0,0.0001,212.5,10.0,1062500.0,1352.8170162811102,0.5625,10625.0,2125.0
plate-uniform,split,5.0,0,0.5,-0.002,-0.001,0,0.0001,212.5,100.0,1062500.0,135.28170162811105,0.5625,1062500.0,21250.0
plate-outer-weighted,pre,5.0,2,1.0,-0.002,-0.001,0,0.0001,212.5,10.0,212500.0,270.56340325622205,0.31640625,10625.0,2125.0
plate-outer-weighted,pre,5.0,2,1.0,-0.002,-0.001,0,0.0001,212.5,100.0,212500.0,27.05634032562221,0.31640625,1062500.0,21250.0
plate-outer-weighted,during,5.0,2,0.0,-0.002,-0.001,0,0.0001,212.5,10.0,2125000.0,2705.6340325622205,0.31640625,10625.0,2125.0
plate-outer-weighted,during,5.0,2,0.0,-0.002,-0.001,0,0.0001,212.5,100.0,2125000.0,270.5634032562221,0.31640625,1062500.0,21250.0
plate-outer-weighted,split,5.0,2,0.5,-0.002,-0.001,0,0.0001,212.5,10.0,1062500.0,1352.8170162811102,0.31640625,10625.0,2125.0
plate-outer-weighted,split,5.0,2,0.5,-0.002,-0.001,0,0.0001,212.5,100.0,1062500.0,135.28170162811105,0.31640625,1062500.0,21250.0
