diameter_m,footprint_ratio,duration_s,closing_speed_m_s,projectile_kg,length_m,incoming_density_kg_m3,incoming_ram_pa
10.0,0.5,1e-05,45580.0,25.0,0.45580000000000004,2.7934171670363375,5803425844.902871
10.0,0.5,3e-05,45580.0,25.0,1.3674,0.9311390556787792,1934475281.6342905
10.0,0.5,0.0001,45580.0,25.0,4.558,0.2793417167036338,580342584.4902872
10.0,0.5,0.0003,45580.0,25.0,13.674,0.09311390556787794,193447528.16342908
10.0,0.5,0.001,45580.0,25.0,45.58,0.027934171670363377,58034258.449028715
10.0,0.75,1e-05,45580.0,25.0,0.45580000000000004,1.241518740905039,2579300375.5123873
10.0,0.75,3e-05,45580.0,25.0,1.3674,0.41383958030167967,859766791.8374625
10.0,0.75,0.0001,45580.0,25.0,4.558,0.1241518740905039,257930037.55123875
10.0,0.75,0.0003,45580.0,25.0,13.674,0.04138395803016797,85976679.18374626
10.0,0.75,0.001,45580.0,25.0,45.58,0.012415187409050392,25793003.75512388
10.0,1.0,1e-05,45580.0,25.0,0.45580000000000004,0.6983542917590844,1450856461.2257178
10.0,1.0,3e-05,45580.0,25.0,1.3674,0.2327847639196948,483618820.4085726
10.0,1.0,0.0001,45580.0,25.0,4.558,0.06983542917590845,145085646.1225718
10.0,1.0,0.0003,45580.0,25.0,13.674,0.023278476391969484,48361882.04085727
10.0,1.0,0.001,45580.0,25.0,45.58,0.006983542917590844,14508564.612257179
20.0,0.5,1e-05,45580.0,25.0,0.45580000000000004,0.6983542917590844,1450856461.2257178
20.0,0.5,3e-05,45580.0,25.0,1.3674,0.2327847639196948,483618820.4085726
20.0,0.5,0.0001,45580.0,25.0,4.558,0.06983542917590845,145085646.1225718
20.0,0.5,0.0003,45580.0,25.0,13.674,0.023278476391969484,48361882.04085727
20.0,0.5,0.001,45580.0,25.0,45.58,0.006983542917590844,14508564.612257179
20.0,0.75,1e-05,45580.0,25.0,0.45580000000000004,0.31037968522625975,644825093.8780968
20.0,0.75,3e-05,45580.0,25.0,1.3674,0.10345989507541992,214941697.95936564
20.0,0.75,0.0001,45580.0,25.0,4.558,0.031037968522625976,64482509.38780969
20.0,0.75,0.0003,45580.0,25.0,13.674,0.010345989507541993,21494169.795936566
20.0,0.75,0.001,45580.0,25.0,45.58,0.003103796852262598,6448250.93878097
20.0,1.0,1e-05,45580.0,25.0,0.45580000000000004,0.1745885729397711,362714115.30642945
20.0,1.0,3e-05,45580.0,25.0,1.3674,0.0581961909799237,120904705.10214315
20.0,1.0,0.0001,45580.0,25.0,4.558,0.01745885729397711,36271411.53064295
20.0,1.0,0.0003,45580.0,25.0,13.674,0.005819619097992371,12090470.510214318
20.0,1.0,0.001,45580.0,25.0,45.58,0.001745885729397711,3627141.1530642947
30.0,0.5,1e-05,45580.0,25.0,0.45580000000000004,0.31037968522625975,644825093.8780968
30.0,0.5,3e-05,45580.0,25.0,1.3674,0.10345989507541992,214941697.95936564
30.0,0.5,0.0001,45580.0,25.0,4.558,0.031037968522625976,64482509.38780969
30.0,0.5,0.0003,45580.0,25.0,13.674,0.010345989507541993,21494169.795936566
30.0,0.5,0.001,45580.0,25.0,45.58,0.003103796852262598,6448250.93878097
30.0,0.75,1e-05,45580.0,25.0,0.45580000000000004,0.13794652676722655,286588930.6124875
30.0,0.75,3e-05,45580.0,25.0,1.3674,0.045982175589075525,95529643.53749585
30.0,0.75,0.0001,45580.0,25.0,4.558,0.013794652676722656,28658893.06124875
30.0,0.75,0.0003,45580.0,25.0,13.674,0.004598217558907552,9552964.353749584
30.0,0.75,0.001,45580.0,25.0,45.58,0.0013794652676722655,2865889.306124875
30.0,1.0,1e-05,45580.0,25.0,0.45580000000000004,0.07759492130656494,161206273.4695242
30.0,1.0,3e-05,45580.0,25.0,1.3674,0.02586497376885498,53735424.48984141
30.0,1.0,0.0001,45580.0,25.0,4.558,0.007759492130656494,16120627.346952422
30.0,1.0,0.0003,45580.0,25.0,13.674,0.002586497376885498,5373542.448984141
30.0,1.0,0.001,45580.0,25.0,45.58,0.0007759492130656495,1612062.7346952425
