case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
3-synodic,45580.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,7596.666666666667,21641004166.666664,25743928072.40981,142771514.92717648,17404.475716639878,2936460.992082932,50936173.380746745,0.9999075549057912,47785508.61297805,44049832.933451675
3-synodic,45580.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,7596.666666666667,21641004166.666664,25743928072.40981,142771514.92717648,21149.022813318377,34616439.17596141,50908322.54581013,0.9993608263548381,39913664.85272706,51949527.52863928
3-synodic,45580.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,7596.666666666667,21641004166.666664,25743928072.40981,142771514.92717648,26039.860288861062,409491733.45549256,50696844.06477701,0.9952093772598233,30418488.900510944,61656181.961888514
3-synodic,45580.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,6511.428571428572,22259318571.42857,25696086337.797104,125635428.05271813,16350.222750459921,2628857.455670177,50934444.07897667,0.999873607677528,35264393.51322171,39436590.46051976
3-synodic,45580.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,6511.428571428572,22259318571.42857,25696086337.797104,125635428.05271813,19572.36842205871,30646171.270039547,50897352.1652604,0.9991454712218587,28738214.046521984,45999861.840935744
3-synodic,45580.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,6511.428571428572,22259318571.42857,25696086337.797104,125635428.05271813,23609.76242015436,357119279.50876284,50624445.082718596,0.9937881419309232,21171357.679651808,53839625.290347725
3-synodic,45580.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,5697.5,22723054375.0,25648244603.184395,112010469.89092198,15373.351195762894,2375996.8921684385,50932312.41198221,0.9998317617792041,25433562.680422746,35644594.798517026
3-synodic,45580.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,5697.5,22723054375.0,25648244603.184395,112010469.89092198,18115.145551155067,27362302.65059481,50883583.165416755,0.9988751775179278,20046360.636255216,41080526.08925001
3-synodic,45580.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,5697.5,22723054375.0,25648244603.184395,112010469.89092198,21389.005597930598,313596824.39589757,50531778.42419354,0.9919690399882927,14122860.57529684,47355830.8914316
3-synodic,45580.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,5064.444444444444,23083737777.77778,25600402868.57169,100955269.53933097,14425.041334214417,2158206.7641549134,50929535.245662816,0.9997772443429759,17646900.49912964,32378833.794538517
