case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4797.894736842105,23235604473.68421,25576482001.265335,96180553.57873493,13947.05007649411,2057780.2257964518,50927763.542921655,0.9997424647582849,14379699.901192553,30873090.134620726
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,0.1,4797.894736842105,23235604473.68421,25576206791.791874,96179394.80200458,13946.927412710716,2057755.1967715689,50927763.04852151,0.9997424550529143,14378916.8702679,30872714.883215167
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,100.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4708.421052631579,23337671578.94737,25577544501.265335,96610309.81142192,13992.298953391331,2067038.3636392024,50927944.42778168,0.9997460156362975,14670468.788309637,31011896.5953306
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,100.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,0.1,4708.421052631579,23337671578.94737,25577269291.791874,96609151.03469154,13992.177592848679,2067013.465006271,50927943.94658659,0.99974600619015,14669683.798042914,31011523.29006204
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4797.894736842105,23235604473.68421,25591993379.05927,96245864.64313045,13953.957883586303,2059190.3314344839,50927791.34952538,0.9997430106185505,14423841.641430087,30894231.652174987
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,0.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,0.1,4797.894736842105,23235604473.68421,25591718169.585808,96244705.86640008,13953.835420791187,2059165.3226211362,50927790.85717224,0.999743000953364,14423058.312480016,30893856.696747817
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,100.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4708.421052631579,23337671578.94737,25593055879.05927,96675620.87581742,13999.133497072693,2068441.1452574607,50927971.4927854,0.9997465469385116,14714720.899008123,31032928.48402389
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,100.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,0.1,4708.421052631579,23337671578.94737,25592780669.585808,96674462.09908706,13999.012331152175,2068416.2660112141,50927971.01354556,0.9997465375307467,14713935.614462275,31032555.471079227
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4797.894736842105,23235604473.68421,25576482001.265335,96180553.57873493,15997.542972039559,23186682.062523417,50852843.884553716,0.9982717470454898,10497894.571503218,34829815.122678
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,1.0,4797.894736842105,23235604473.68421,25576206791.791874,96179394.80200458,15997.361586029023,23186351.18495888,50852840.43166837,0.9982716792632849,10497234.227359096,34829320.14297711
